"id","user.id","user.login","user.observations_count","user.identifications_count","user.created_at","observed_on","place.id","city","location.lat","location.lon","mappable","taxon.id","taxon.name","taxon.rank","quality_grade","period"
40486356,8778,"gyrrlfalcon",44655,23021,"2012-08-13T23:40:51+00:00","2018-10-20",54321,"San Francisco Bay Area","37.3148487643","-122.1614927994",TRUE,120384,"Placidium","genus","needs_id","beforeCNC.2019"
40121949,108264,"nancyasquith",6126,6724,"2015-06-06T08:39:56+00:00","2018-12-18",54321,"San Francisco Bay Area","37.3947204125","-121.8100143338",TRUE,174751,"Xanthomendoza hasseana","species","needs_id","beforeCNC.2019"
39095111,34038,"merav",27822,8311,"2014-03-29T05:37:30+00:00","2019-03-30",NA,NA,"35.6017444444","-119.3496694444",TRUE,205431,"Acarospora badiofusca","species","needs_id","beforeCNC.2019"
38750687,108264,"nancyasquith",6126,6724,"2015-06-06T08:39:56+00:00","2019-01-03",54321,"San Francisco Bay Area","37.2411681037","-121.8716084217",TRUE,117887,"Physcia","genus","needs_id","beforeCNC.2019"
37358518,2991,"sea-kangaroo",59602,81893,"2011-09-19T19:49:45+00:00","2019-01-22",54321,"San Francisco Bay Area","37.8750724022","-122.2385272716",TRUE,60724,"Xanthoparmelia","genus","needs_id","beforeCNC.2019"
37254464,536,"virusmanbob",2761,5,"2011-01-23T23:36:46+00:00","2018-07-08",NA,NA,"-0.9544574","-90.9641467",TRUE,48325,"Ramalina","genus","needs_id","beforeCNC.2019"
32736944,108264,"nancyasquith",6126,6724,"2015-06-06T08:39:56+00:00","2019-03-01",54321,"San Francisco Bay Area","37.2329109404","-122.070702061",TRUE,813868,"Tuckermanopsis orbata","species","research","beforeCNC.2019"
27885515,213838,"vireolanius",3892,5476,"2016-04-10T16:25:27+00:00","2019-01-19",NA,NA,"-3.7702","-70.38306",TRUE,4765,"Coragyps atratus","species","research","beforeCNC.2019"
25152474,506327,"julie_sf",6355,12069,"2017-06-10T22:49:29+00:00","2018-09-04",NA,NA,"31.2235939912","121.4120058083",TRUE,125936,"Graphium sarpedon","species","research","beforeCNC.2019"
25152462,506327,"julie_sf",6355,12069,"2017-06-10T22:49:29+00:00","2018-09-04",NA,NA,"31.2244424394","121.4116509737",TRUE,125936,"Graphium sarpedon","species","research","beforeCNC.2019"
23964936,13377,"boschniakia",1943,17212,"2013-02-21T18:31:26+00:00","2019-03-04",54321,"San Francisco Bay Area","37.9414664861","-122.5804176462",TRUE,813872,"Tuckermanopsis","genus","needs_id","beforeCNC.2019"
23038559,446984,"josh_b",1192,59,"2017-04-10T18:01:12+00:00","2019-01-27",54321,"San Francisco Bay Area","37.9386206667","-122.1376658611",TRUE,55576,"Xanthoria parietina","species","needs_id","beforeCNC.2019"
22986308,2991,"sea-kangaroo",59602,81893,"2011-09-19T19:49:45+00:00","2019-04-15",NA,NA,"35.9867302","-120.9627598001",TRUE,49578,"Ramalina menziesii","species","research","beforeCNC.2019"
22959115,86100,"naturenate",6381,7442,"2015-03-29T20:37:04+00:00","2019-04-04",962,"Los Angeles County","33.389275","-118.4022316667",TRUE,48325,"Ramalina","genus","needs_id","beforeCNC.2019"
22906898,3342,"hfabian",33615,3612,"2011-10-19T20:07:40+00:00","2019-04-04",NA,NA,"35.1899093","-119.863298",TRUE,69163,"Caloplaca","genus","needs_id","beforeCNC.2019"
22888113,3342,"hfabian",33615,3612,"2011-10-19T20:07:40+00:00","2019-04-03",NA,NA,"34.0306138889","-116.1450777778",TRUE,212280,"Acarospora socialis","species","research","beforeCNC.2019"
22887538,2991,"sea-kangaroo",59602,81893,"2011-09-19T19:49:45+00:00","2019-04-15",NA,NA,"35.97953","-121.01041",TRUE,117988,"Hypogymnia","genus","needs_id","beforeCNC.2019"
22887526,2991,"sea-kangaroo",59602,81893,"2011-09-19T19:49:45+00:00","2019-04-15",NA,NA,"35.97953","-121.01041",TRUE,54623,"Letharia","genus","needs_id","beforeCNC.2019"
