"user.id","user.login","user.observations_count","user.identifications_count","user.created_at","start_date","user.status","nobs_beforeCNC.2019","nobs_afterCNC.2019"
1244509,"johnlau911",84,0,"2018-09-29T16:19:18+00:00",2018-09-29,"novice",37,1
9572,"leftcoastnaturalist",6594,2269,"2012-09-18T20:24:50+00:00",2012-09-18,"veteran",992,298
1558787,"corkyq",17,0,"2019-03-27T23:34:42+00:00",2019-03-27,"novice",1,0
446984,"josh_b",1192,59,"2017-04-10T18:01:12+00:00",2017-04-10,"veteran",496,328
2991,"sea-kangaroo",60322,82097,"2011-09-19T19:49:45+00:00",2011-09-19,"veteran",10344,13743
1508216,"dulce360",68,0,"2019-03-04T09:32:49+00:00",2019-03-04,"novice",31,25
1590300,"devcam",780,11,"2019-04-08T18:00:06+00:00",2019-04-08,"novice",60,144
1659322,"knify",29,0,"2019-04-24T19:21:52+00:00",2019-04-24,"new",NA,0
13370,"rudyard",2428,13887,"2013-02-21T07:03:46+00:00",2013-02-21,"veteran",331,210
4005,"moonlittrails",1275,262,"2011-12-12T04:48:05+00:00",2011-12-12,"veteran",94,169
1516296,"teamclarkia",42,0,"2019-03-08T17:54:31+00:00",2019-03-08,"novice",0,0
1516301,"teamwillow",28,0,"2019-03-08T17:58:39+00:00",2019-03-08,"novice",0,0
3558,"suzm",2331,2635,"2011-11-07T06:04:52+00:00",2011-11-07,"veteran",216,213
10285,"finatic",80211,72438,"2012-10-11T21:52:14+00:00",2012-10-11,"veteran",10929,5767
108264,"nancyasquith",6233,6923,"2015-06-06T08:39:56+00:00",2015-06-06,"veteran",1759,2267
651288,"bratworst",491,0,"2017-09-30T03:23:36+00:00",2017-09-30,"veteran",129,104
1667864,"kaeliesnyder",11,0,"2019-04-26T00:52:52+00:00",2019-04-26,"new",NA,0
1345264,"florayfauna",136,7,"2018-11-11T04:00:03+00:00",2018-11-11,"novice",31,33
818374,"mikethebirder",3878,2510,"2018-03-30T18:01:06+00:00",2018-03-30,"veteran",724,854
3494,"damontighe",50991,18514,"2011-11-01T22:52:59+00:00",2011-11-01,"veteran",11587,9522
228955,"hikingsandiego",21686,16981,"2016-05-02T15:30:53+00:00",2016-05-02,"veteran",6466,7812
86100,"naturenate",6395,7498,"2015-03-29T20:37:04+00:00",2015-03-29,"veteran",1473,1252
477192,"timweed",123,0,"2017-05-08T15:38:10+00:00",2017-05-08,"veteran",0,49
17630,"gregpauly",1489,28498,"2013-06-07T17:40:06+00:00",2013-06-07,"veteran",180,172
34038,"merav",28093,8504,"2014-03-29T05:37:30+00:00",2014-03-29,"veteran",6295,12217
819,"rebeccafay",12633,6586,"2011-03-07T19:21:50+00:00",2011-03-07,"veteran",2533,2340
99304,"phylogenomics",19639,185,"2015-05-15T00:18:39+00:00",2015-05-15,"veteran",1869,9361
154824,"jonathan27",2182,459,"2015-11-20T05:46:59+00:00",2015-11-20,"veteran",85,181
34496,"patsimpson2000",8647,8659,"2014-04-03T04:13:12+00:00",2014-04-03,"veteran",835,1711
1537873,"sennesand",558,322,"2019-03-19T01:20:10+00:00",2019-03-19,"novice",132,99
47360,"coastalsage",232,0,"2014-08-07T16:43:31+00:00",2014-08-07,"veteran",8,0
99796,"jenbryant",940,795,"2015-05-16T00:36:21+00:00",2015-05-16,"veteran",351,484
536,"virusmanbob",2838,5,"2011-01-23T23:36:46+00:00",2011-01-23,"veteran",719,1238
201119,"sarahwenner",1352,42,"2016-03-20T06:38:10+00:00",2016-03-20,"veteran",105,75
38530,"kevinhintsa",7494,205353,"2014-05-14T05:24:25+00:00",2014-05-14,"veteran",553,619
631902,"petunialoo",278,7,"2017-09-16T21:56:38+00:00",2017-09-16,"veteran",0,0
14811,"snakeinmypocket",16530,7122,"2013-04-07T01:31:02+00:00",2013-04-07,"veteran",4712,3425
388712,"lagoondon",9473,13876,"2017-01-10T17:25:54+00:00",2017-01-10,"veteran",2484,4027
73504,"emilycobar",262,45,"2015-01-29T21:00:37+00:00",2015-01-29,"veteran",24,13
262841,"hydrocycler",4401,239,"2016-06-21T20:47:00+00:00",2016-06-21,"veteran",866,2499
76184,"sidesplotch",3871,228,"2015-02-12T06:30:27+00:00",2015-02-12,"veteran",69,77
681834,"anniemiller",1942,412,"2017-10-24T17:10:45+00:00",2017-10-24,"veteran",622,514
3342,"hfabian",33856,3668,"2011-10-19T20:07:40+00:00",2011-10-19,"veteran",5759,4244
506327,"julie_sf",6355,12095,"2017-06-10T22:49:29+00:00",2017-06-10,"veteran",2090,1072
60643,"newtpatrol",3492,373,"2014-10-22T04:00:50+00:00",2014-10-22,"veteran",552,1475
133261,"pocketmouse",3038,2241,"2015-09-16T16:42:11+00:00",2015-09-16,"veteran",724,330
46415,"marymchurchill",2689,1057,"2014-07-30T22:51:38+00:00",2014-07-30,"veteran",256,351
1415559,"ceratina",227,437,"2019-01-06T00:31:48+00:00",2019-01-06,"novice",0,29
1850,"bbunny",15748,17951,"2011-06-12T03:03:15+00:00",2011-06-12,"veteran",1408,1406
3735,"lotusmorning",598,61,"2011-11-21T03:05:04+00:00",2011-11-21,"veteran",30,63
463410,"scott916",1328,104,"2017-04-24T21:05:46+00:00",2017-04-24,"veteran",187,71
7302,"lgottlieb",4964,943,"2012-06-06T00:54:19+00:00",2012-06-06,"veteran",429,508
27185,"hila",544,143,"2013-12-08T19:14:17+00:00",2013-12-08,"veteran",3,0
757838,"rmoger",2213,12,"2018-02-03T03:32:06+00:00",2018-02-03,"veteran",366,1176
279834,"chrisalis",3635,2687,"2016-07-31T01:34:33+00:00",2016-07-31,"veteran",840,1742
1667702,"ccb-iowa",29,5,"2019-04-26T00:17:21+00:00",2019-04-26,"new",NA,8
616107,"mpkw",4721,270,"2017-09-05T12:41:25+00:00",2017-09-05,"veteran",2127,1659
588281,"sgcacc",957,288,"2017-08-19T16:24:06+00:00",2017-08-19,"veteran",24,60
8778,"gyrrlfalcon",44837,23283,"2012-08-13T23:40:51+00:00",2012-08-13,"veteran",9033,11032
1576817,"emglad",363,4,"2019-04-03T21:01:09+00:00",2019-04-03,"novice",13,12
1581859,"andyvn",114,1,"2019-04-05T19:12:57+00:00",2019-04-05,"novice",12,1
