City	Observations	Species	People
Adelaide, South Australia, Australia	6701	1205	188
Aguascalientes, Aguascalientes, México	159	110	27
Alachua County, Florida, USA	10287	1773	276
Albuquerque, New Mexico, USA	5020	1013	316
Alexandria, Virginia, USA	365	213	42
Amarillo, Texas, USA	1370	409	29
Ann Arbor, Michigan, USA	1723	497	99
Annapolis Valley, Nova Scotia, Canada	2225	583	61
Asheville (Western NC), North Carolina, USA	6498	1392	521
Atlanta, Georgia, USA	7215	1392	754
Auckland, Auckland, New Zealand	2218	885	211
Austin, Texas, USA	18213	2505	1165
Azuero (Herrera), Panamá	3515	1125	63
Baltimore, Maryland, USA	10961	1501	663
Banyoles, Catalonia, Spain	82	30	15
Barcelona, Catalonia, Spain	275	126	16
Bedford, New York, USA	1235	448	46
Birmingham & Black Country, Midlands, UK	16145	1370	276
Birminghham Metro Area, Alabama, USA	1756	781	196
Blacksburg, Virginia, USA	293	178	38
Bocas del Toro, Panamá	591	332	26
Bolzano, South Tyrol, Italy	3271	934	148
Boston, Massachusetts, USA	15249	1765	1013
Brasília, DF, Brazil	1036	437	58
Brighton & Lewes Downs Biosphere, South-east, UK	1926	598	111
Bristol & Bath, UK	8851	1354	539
Brno, Jihomoravský kraj, Czech Republic	2648	614	129
Cafayate, Salta, Argentina	0	0	0
Calgary Metropolitan Region (CMR), Alberta, Canada	5465	755	239
Cali, Valle del Cauca, Colombia	31	22	9
Cape Breton Regional Municipality, Nova Scotia, Canada	1327	334	28
Cape Town, Western Cape, South Africa	34147	3263	1029
Carmen de Patagones, Buenos Aires, Argentina	43	29	3
Catania, Sicilia, Italy	30	0	1
Central Taiwan, Taichung, Taiwan	4518	1477	183
Charlotte Metro, North Carolina, USA	1860	742	286
Charlottesville, Virginia, USA	1483	550	123
Charlottetown (Urban PEI), Prince Edward Island, Canada	182	106	22
Chattanooga, Tennessee, USA	3418	1075	250
Chiayi, Chiayi, Taiwan	11937	1827	133
Chicago, Illinois, USA	4299	802	552
Cisternino, Puglia, Italy	92	34	3
Ciudad Autónoma de Buenos Aires, Buenos Aires, Argentina	1488	569	118
Ciudad Victoria, Tamaulipas, México	26	21	6
Cleveland-Akron-Canton, Ohio, USA	6055	1035	491
Cocle, Panamá	1530	678	56
Colmenar Viejo, Madrid, Spain	3298	453	33
Colon, Panamá	3493	1139	109
Colorado Springs, Colorado, USA	3443	717	91
Concepción del Uruguay, Entre Ríos, Argentina	2	2	1
Constantine, Constantine, Algeria	835	335	6
Copenhagen, Copenhagen, Denmark	1649	655	83
Copertino, Puglia, Italy	90	69	1
Cuautitlán Izcalli, Estado de México, México	14	12	6
Curitiba, Paraná, Brazil	2697	779	121
Córdoba, Córdoba, Argentina	228	144	28
Dallas/Fort Worth (DFW), Texas, USA	33506	2962	1253
Darien, Panamá	1231	606	24
Davao City, Davao del Sur, Philippines	3630	968	93
David City, Chiriquí, Panamá	7096	1850	180
Denver-Boulder Metro Area, Colorado, USA	5847	838	443
Dorila, La Pampa, Argentina	474	250	16
Durban, KwaZulu-Natal, South Africa	2066	903	52
El Paso, Texas, USA	1496	489	72
El Salvador, El Salvador	1140	423	95
Eldorado, Misiones, Argentina	360	219	3
Ensenada, Baja California, México	6649	1124	96
Eugene/Springfield, Oregon, USA	2824	786	144
Fairfield County, Connecticut, USA	3156	808	364
Fort Wayne, Indiana, USA	1963	500	117
Fukutsu, Fukuoka, Japan	455	231	17
Gaborone, SE Botswana, Botswana	1260	486	2
Garden Route, Western Cape, South Africa	17743	2734	315
Geelong, Victoria, Australia	5949	1384	135
General Villegas, Buenos Aires, Argentina	113	74	6
Gero, Gifu, Japan	126	34	3
Glasgow, Glasgow, UK	2086	589	106
Gran Área Metropolitana, San José-GAM, Costa Rica	2097	687	178
Graz, Styria, Austria	4398	1350	95
Greater Kansas City Metro Area, Missouri and Kansas, USA	677	348	123
Greater Manchester, North West, UK	4740	832	221
Greater Philadelphia Area, Pennsylvania, USA	23675	2032	820
Greater Richmond Region, Virginia, USA	1443	573	160
