"Genus","taxon_id"
"ABROTHALLUS",174651
"ABSCONDITELLA",174697
"ACANTHOTHECIS",462231
"ACAROCONIUM",462241
"ACAROSPORA",117932
"ACOLIUM",1027172
"ACREMONIUM",328150
"ACROCORDIA",174675
"ACROSCYPHUS",174693
"ACTINOGYRA",NA
"ADELOCOCCUS",174659
"ADELOLECIA",174668
"AGONIMIA",175167
"AGRESTIA",62472
"AGYRIUM",174682
"AGYROPHORA",59968
"AHLESIA",NA
"AHTIANA",174714
"AINOA",532052
"ALBEMARLEA",NA
"ALECTORIA",126625
"ALLANTOPARMELIA",175186
"ALLARTHONIA",NA
"ALLOCALICIUM",1026744
"ALLOCETRARIA",174706
"ALLOGRAPHA",1027176
"ALYXORIA",462281
"AMANDINEA",155084
"AMELIELLA",462279
"AMEROCONIUM",508841
"AMPHILOMA",NA
"AMPHISPHAERIA",374465
"AMPLIOTREMA",462283
"AMYGDALARIA",176014
"ANAMYLOPSORA",175192
"ANAPTYCHIA",175357
"ANDREIOMYCES",508843
"ANEMA",363727
"ANISOMERIDIUM",175204
"ANISOMERIDUM",NA
"ANOMALOBARIA",NA
"ANOMOMORPHA",462297
"ANTHRACOTHECIUM",175213
"ANZIA",175237
"ANZINA",453566
"APATOPLACA",NA
"ARCTOCETRARIA",175222
"ARCTOMIA",175239
"ARCTOPARMELIA",175228
"ARCTOPELTIS",175953
"ARRHENIA",67344
"ARTHONIA",117929
"ARTHOPHACOPSIS",464935
"ARTHOPYRENIA",175991
"ARTHOTHELIOPSIS",366520
"ARTHOTHELIUM",175875
"ARTHRORHAPHIS",175894
"ARTHROSPORUM",175877
"ASAHINEA",175926
"ASPICILIA",175944
"ASPICILIELLA",1027538
"ASPIDOTHELIUM",175979
"ASPILIDEA",462404
"ASTEROPHOMA",175899
"ASTEROTHYRIUM",175920
"ASTROTHELIUM",175884
"ATHALLIA",464233
"ATHELIA",175896
"ATLA",47519
"AULAXINA",175989
"BACHMANNIOMYCES",175897
"BACIDIA",175969
"BACIDINA",175976
"BACIDIOPSORA",464933
"BACTROSPORA",175916
"BACULIFERA",462435
"BAEOMYCES",175954
"BAGLIETTOA",378762
"BATHELIUM",462442
"BELLEMEREA",175940
"BELLEMERELLA",464929
"BELONIA",175780
"BIATORA",175943
"BIATORELLA",175879
"BIATORIDIUM",378772
"BIATOROPSIS",175951
"BIAZROVIA",NA
"BILIMBIA",345277
"BISPORA",374537
"BLASTENIA",378775
"BLENNOTHALLIA",464245
"BOGORIELLA",915048
"BOMBYLIOSPORA",NA
"BORRERA",NA
"BOTRYDINA",NA
"BOTRYOLEPRARIA",462486
"BOTTARIA",NA
"BRACKELIA",NA
"BRIANARIA",508846
"BRIANCOPPINSIA",468113
"BRIGANTIAEA",175173
"BRODOA",175947
"BRUCEA",184505
"BRUCEOMYCES",468151
"BRYOBILIMBIA",474436
"BRYOCAULON",175936
"BRYODINA",464934
"BRYONORA",175913
"BRYOPHAGUS",374645
"BRYOPLACA",474433
"BRYOPOGON",NA
"BRYORIA",117926
"BRYOSCYPHUS",462512
"BRYOSTIGMA",532764
"BUELLIA",117925
"BUELLIELLA",175973
"BUELLIOPSIS",NA
"BULBOTHRIX",175949
"BULLATINA",175922
"BUNODOPHORON",175972
"BURGELLA",462548
"BYSSOLOMA",175868
"CAERULEOCONIDIA",NA
"CAERULEUM",464188
"CALENIA",378790
"CALICIELLA",NA
"CALICIUM",117924
"CALLOME",574404
"CALOGAYA",464216
"CALOPADIA",175970
"CALOPLACA",69163
"CALOPLACOPSIS",NA
"CALVITIMELA",176009
"CAMPYLOTHELIUM",1037383
"CANDELARIA",69468
"CANDELARIELLA",155094
"CANDELINA",175971
"CANOMACULINA",117867
"CANOPARMELIA",175893
"CAPRONIA",344842
"CARBACANTHOGRAPHIS",462616
"CARBONEA",175878
"CARBONICOLA",464928
"CATAPYRENIUM",176004
"CATILLARIA",175892
"CATILLOCHROMA",416496
"CATINARIA",175968
"CATOLECHIA",176038
"CAVERNULARIA",117988
"CECIDONIA",175977
"CELIDIUM",NA
"CELOTHELIUM",462634
"CEPHALOPHYSIS",175996
"CERCIDOSPORA",176003
"CEROTHALLIA",464234
"CETRADONIA",481586
"CETRARIA",54352
"CETRARIASTRUM",NA
"CETRARIELLA",175950
"CETRELIA",154458
"CHAENOTHECA",55457
"CHAENOTHECOPSIS",175946
"CHALARA",353368
"CHAPSA",462682
"CHEIROMYCINA",462691
"CHIODECTON",175891
"CHIONOSPHAERA",NA
"CHRISMOFULVEA",462693
"CHROMATOCHLAMYS",175904
"CHRYSOPSORA",1047043
"CHRYSOTHRIX",117942
"CIPOSIA",462702
"CIRCINARIA",344388
"CLADIDIUM",117940
"CLADINA",49490
"CLADONIA",49490
"CLADOPHIALOPHORA",462726
"CLATHROPORINA",175898
"CLAUROUXIA",462732
"CLAUZADEA",175987
"CLAUZADEANA",378851
"CLAVASCIDIUM",344389
"CLIOSTOMUM",175886
"CLYPEOCOCCUM",175978
"COCCOCARPIA",175988
"COCCOTREMA",175952
"COELOCAULON",NA
"COENOGONIUM",132205
"COLLEMA",117962
"COLLEMODES",NA
"COLLEMOPSIDIUM",462763
"COLLEMOPSIS",NA
"COMBEA",864019
"CONIAMBIGUA",462772
"CONIARTHONIA",464930
"CONIOCARPON",1026551
"CONIOCYBE",55457
"CONIOCYBOPSIS",NA
"CONOTREMA",352486
"CONSTRICTOLUMINA",1027352
"CORA",4764
"CORISCIUM",NA
"CORNICULARIA",176005
"CORNUTISPORA",175966
"CORTICIFRAGA",176010
"CORYNESPORA",353361
"CRATIRIA",462782
"CRESPOA",464071
"CRESPONEA",55454
"CROCODIA",374430
"CROCYNIA",175942
"CRYPTODISCUS",374645
"CRYPTOLECHIA",175974
"CRYPTOTHECIA",176035
"CRYPTOTHELE",247600
"CULBERSONIA",175921
"CYANISTICTA",378883
"CYBEBE",55457
"CYCLOHYMENIA",NA
"CYPHELIOPSIS",NA
"CYPHELIUM",117924
"CYPHOBASIDIUM",901971
"CYSTOBASIDIUM",462796
"CYSTOCOLEUS",175919
"DACAMPIA",176016
"DACTYLINA",144182
"DACTYLOSPORA",176034
"DEGELIA",175869
"DENDRISCOCAULON",175863
"DENDRISCOSTICTA",464003
"DENDRODOCHIUM",175861
"DENDROGRAPHA",117965
"DERMATINA",NA
"DERMATISCUM",507468
"DERMATOCARPON",154128
"DERMISCELLUM",175876
"DESMAZIERIA",NA
"DIBAEIS",117425
"DICTYOCATENULATA",462820
"DICTYOMERIDIUM",1029838
"DICTYONEMA",128050
"DIDYMELLOPSIS",464931
"DIDYMOCYRTIS",531566
"DIDYMOSPHAERIA",353176
"DIGITOTHYREA",462825
"DIMELAENA",175859
"DIMERELLA",132205
"DIMIDIOGRAPHA",474434
"DINEMASPORIUM",374693
"DIORYGMA",462831
"DIPLOICIA",176033
"DIPLOLAEVIOPSIS",344846
"DIPLOSCHISTELLA",462839
"DIPLOSCHISTES",117958
"DIPLOTOMMA",175848
"DIRINA",175845
"DIRINARIA",175845
"DISCOTHECIUM",NA
"DISTOPYRENIS",175844
"DITREMIS",175204
"DOLICHOUSNEA",55890
"DUFOUREA",502154
"DYPLOLABIA",462849
"ECHINODISCUS",349393
"ECHINOPLACA",175849
"ECHINOTHECIUM",175842
"EDRUDIA",175862
"EIGLERA",175843
"ELIXIA",175841
"ELLISEMBIA",353166
"ENCHYLIUM",464247
"ENDOCARPISCUM",NA
"ENDOCARPON",175840
"ENDOCOCCUS",175839
"ENDOHYALINA",462881
"ENDOPYRENIUM",NA
"ENTEROGRAPHA",175836
"ENTEROSTIGMA",864041
"ENTOSTHELIA",NA
"EOPYRENULA",175835
"EPAPHROCONIDIA",462895
"EPHEBE",175834
"EPHEBEIA",NA
"EPICLADONIA",175837
"EPICOCCUM",352353
"EPIGLOEA",175830
"EPILICHEN",175832
"EPITHAMNOLIA",508898
"ERINACELLUS",508899
"ERIODERMA",153175
"ERYTHRICIUM",374734
"ESCHATOGONIA",370221
"ESSLINGERIANA",175833
"ETAYOA",464927
"EUGENIELLA",474435
"EUOPSIS",175831
"EVERNIA",123176
"EVERNIASTRUM",NA
"EVERNIICOLA",175827
"FARNOLDIA",175828
"FAYODIA",175829
"FELIPES",16850
"FELLHANERA",175823
"FELLHANEROPSIS",462913
"FIBRILLITHECIS",462916
"FISSURINA",463994
"FISTULARIELLA",48325
"FLAKEA",175811
"FLAVOCETRARIA",175809
"FLAVOPARMELIA",117951
"FLAVOPLACA",464002
"FLAVOPUNCTELIA",69437
"FORAMINELLA",NA
"FORSSELLIA",NA
"FOURAGEA",532762
"FRUTIDELLA",341780
"FULGENSIA",175808
"FULGIDEA",474428
"FULVOPHYTON",474429
"FUSARIUM",352243
"FUSCIDEA",175812
"FUSCOPANNARIA",175813
"GABURA",474431
"GAMUNDIA",461423
"GASPARRINIA",69163
"GASSICURTIA",462971
"GEISLERIA",532761
"GELATINOPSIS",462978
"GELTINGIA",175799
"GLAUCOMARIA",NA
"GLAUCOTREMA",474425
