id,user.id,user.login,user.observations_count,user.identifications_count,user.created_at,observed_on,place.id,city,location.lat,location.lon,mappable,taxon.id,taxon.name,taxon.rank,quality_grade
37107509,659689,calochortus,884,408,2017-10-06T16:23:22+00:00,4/14/2019,NA,NA,38.86388203,-122.4039202,TRUE,60724,Xanthoparmelia,genus,needs_id
36763889,167833,agave6_tomwalker,2130,4235,2016-01-09T16:04:42+00:00,4/13/2019,NA,NA,36.57198686,-121.8972648,TRUE,117901,Usnea cornuta,species,needs_id
36570703,2474058,jrmorris,1159,0,2019-12-04T08:07:17+00:00,4/14/2019,NA,NA,39.59723091,-120.6649303,TRUE,54613,Letharia vulpina,species,needs_id
35939611,1178532,kitkestrel,3122,10266,2018-09-02T03:20:00+00:00,4/12/2019,829,San Diego County,33.110245,-116.4317733,TRUE,117932,Acarospora,genus,needs_id
35634607,1178532,kitkestrel,3122,10266,2018-09-02T03:20:00+00:00,4/12/2019,829,San Diego County,33.1103,-116.43132,TRUE,212280,Acarospora socialis,species,needs_id
35634589,1178532,kitkestrel,3122,10266,2018-09-02T03:20:00+00:00,4/12/2019,829,San Diego County,33.11041667,-116.4314183,TRUE,337945,Dermatocarpon americanum,species,needs_id
31913953,1410487,j-dar,166,2818,2019-01-02T04:55:45+00:00,4/13/2019,NA,NA,35.362024,-120.65827,TRUE,117903,Trapelia coarctata,species,needs_id
28915031,118152,cwbarrows,23979,52044,2015-07-25T23:56:43+00:00,4/12/2019,NA,NA,33.99622833,-116.063365,TRUE,60724,Xanthoparmelia,genus,needs_id
25422582,688040,ethanstaats,754,23,2017-10-29T20:33:12+00:00,4/13/2019,NA,NA,35.35870607,-120.6569026,TRUE,155093,Cladonia coniocraea,species,research
25422580,688040,ethanstaats,754,23,2017-10-29T20:33:12+00:00,4/13/2019,NA,NA,35.35800608,-120.656216,TRUE,49490,Cladonia,genus,needs_id
25387407,1767162,sayed1,7,0,2019-05-19T15:57:44+00:00,4/14/2019,54321,San Francisco Bay Area,37.83582833,-122.5450667,TRUE,147234,Niebla,genus,needs_id
25371342,1605772,btran124,109,0,2019-04-13T14:46:53+00:00,4/14/2019,54321,San Francisco Bay Area,37.20943333,-121.80268,TRUE,532267,Rusavskia elegans,species,needs_id
25289258,1487628,elexusp,65,0,2019-02-22T10:45:53+00:00,4/14/2019,962,Los Angeles County,34.17637426,-117.9883618,TRUE,182717,Physconia detersa,species,needs_id
25196014,78845,mazer,13110,6919,2015-02-26T06:04:49+00:00,4/12/2019,54321,San Francisco Bay Area,38.63486389,-122.8645861,TRUE,54613,Letharia vulpina,species,research
25195338,78845,mazer,13110,6919,2015-02-26T06:04:49+00:00,4/12/2019,54321,San Francisco Bay Area,38.63565833,-122.8645528,TRUE,117950,Cladonia macilenta,species,needs_id
24666818,1556915,chriscb,29,0,2019-03-27T07:08:59+00:00,4/14/2019,54321,San Francisco Bay Area,38.56591667,-122.788605,TRUE,57807,Teloschistes flavicans,species,needs_id
24573604,390160,margaretgallagher,741,440,2017-01-13T19:58:23+00:00,4/12/2019,NA,NA,34.74176577,-120.0290854,TRUE,532267,Rusavskia elegans,species,needs_id
24567282,39837,griffith,1573,261,2014-05-27T02:04:54+00:00,4/13/2019,NA,NA,39.26333237,-123.7361145,TRUE,119666,Cladonia portentosa,species,needs_id
23697229,191096,ccmoral,230,2,2016-03-08T04:13:58+00:00,4/13/2019,54321,San Francisco Bay Area,38.0722847,-122.8817367,TRUE,532267,Rusavskia elegans,species,needs_id
23082049,768913,mspartain,131,107,2018-02-19T14:32:25+00:00,4/13/2019,NA,NA,40.56526889,-124.2529541,TRUE,123231,Sphaerophorus tuckermanii,species,needs_id
22997546,34488,pileated,4670,11687,2014-04-03T01:58:58+00:00,4/13/2019,962,Los Angeles County,32.87798982,-118.4351629,TRUE,57807,Teloschistes flavicans,species,research
22997282,34488,pileated,4670,11687,2014-04-03T01:58:58+00:00,4/13/2019,962,Los Angeles County,32.87762833,-118.4355927,TRUE,48325,Ramalina,genus,needs_id
22986308,2991,sea-kangaroo,59476,80934,2011-09-19T19:49:45+00:00,4/15/2019,NA,NA,35.9867302,-120.9627598,TRUE,49578,Ramalina menziesii,species,research
22922938,1579043,claireyerby,53,0,2019-04-04T17:34:57+00:00,4/12/2019,54321,San Francisco Bay Area,37.52275681,-122.5164964,TRUE,54758,Ramalina farinacea,species,needs_id
22899125,140415,brendanvandermei,33,0,2015-10-03T04:36:18+00:00,4/15/2019,54321,San Francisco Bay Area,37.77119667,-122.46985,TRUE,199336,Psoralea pinnata,species,casual
