Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ACAROSPORACEAE,"Acarospora sp.","A. Massal.",,51910
ACAROSPORACEAE,"Caeruleum sp.",Arcadia,,127671
ACAROSPORACEAE,"Eiglera sp.",Hafellner,,51968
ACAROSPORACEAE,"Glypholecia sp.",Nyl.,,51911
ACAROSPORACEAE,"Lithoglypha sp.",Brusse,,258713
ACAROSPORACEAE,"Myriospora sp.","Nägeli ex Uloth",,124752
ACAROSPORACEAE,"Pleopsidium sp.",Körb.,,51912
ACAROSPORACEAE,"Polysporina sp.",Vězda,,51913
ACAROSPORACEAE,"Sarcogyne sp.",Flot.,,51914
ACAROSPORACEAE,"Thelocarpella sp.","Nav.-Ros. & Cl. Roux",,262282
ACAROSPORACEAE,"Timdalia sp.",Hafellner,,128262
ACAROSPORACEAE,"Trimmatothelopsis sp.",Zschacke,,126306
ANDREIOMYCETACEAE,"Andreiomyces sp.","B.P. Hodk. & Lendemer",,256930
ANTENNULARIELLACEAE,"Antennulariella sp.",Woron.,,262226
APHANOPSIDACEAE,"Aphanopsis sp.","Nyl. ex Sydow",,235152
APHANOPSIDACEAE,"Steinia sp.",Körb.,,52006
ARCTOMIACEAE,"Arctomia sp.","Th. Fr.",,51925
ARCTOMIACEAE,"Gregorella sp.",Lumbsch,,148324
ARCTOMIACEAE,"Wawea sp.","Henssen & Kantvilas",,257986
ARTHONIACEAE,"Amazonomyces sp.","Bat. & Cavalc.",,129759
ARTHONIACEAE,"Arthonia sp.",Ach.,,51828
ARTHONIACEAE,"Arthothelium sp.","A. Massal.",,51831
ARTHONIACEAE,"Coniangium sp.",Fr.,,143536
ARTHONIACEAE,"Coniarthonia sp.",Grube,,124696
ARTHONIACEAE,"Coniocarpon sp.",DC.,,143542
ARTHONIACEAE,"Crypthonia sp.","Frisch & G. Thor",,257430
ARTHONIACEAE,"Cryptophaea sp.","Van den Broeck & Ertz",,262107
ARTHONIACEAE,"Cryptothecia sp.",Stirt.,,51829
ARTHONIACEAE,"Eremothecella sp.","Syd. & P. Syd.",,145880
ARTHONIACEAE,"Glomerulophoron sp.","Frisch, Ertz & G. Thor",,262110
ARTHONIACEAE,"Herpothallon sp.",Tobler,,65077
ARTHONIACEAE,"Inoderma sp.","(Ach.) Gray",,235521
ARTHONIACEAE,"Leprantha sp.","Dufour ex Körb.",,159257
ARTHONIACEAE,"Myriostigma sp.",Kremp.,,163005
ARTHONIACEAE,"Pachnolepia sp.",A.Massal.,,166246
ARTHONIACEAE,"Reichlingia sp.","Diederich & Scheid.",,262112
ARTHONIACEAE,"Sporodophoron sp.","Frisch, Y. Ohmura, Ertz & G. Thor",,257419
ARTHONIACEAE,"Stirtonia sp.","A.L. Sm.",,51830
ARTHONIACEAE,"Tylophoron sp.","Nyl. ex Stizenb.",,104389
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Angiactis sp.","Aptroot & Sparrius",,258035
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Bactrospora sp.","A. Massal.",,52171
ARTHONIALES_FAMILY_INCERTAE_SEDIS,"Bryostigma sp.","Poelt & Döbbeler",,124682
