"id","user.id","user.login","user.observations_count","user.identifications_count","user.created_at","observed_on","place.id","city","location.lat","location.lon","mappable","taxon.id","taxon.name","taxon.rank","quality_grade","period"
41973781,1666310,"amieamore",262,0,"2019-04-25T20:06:12+00:00","2020-04-11",829,"San Diego County","33.0817210442","-116.7165877205",TRUE,67584,"Tremella aurantia","species","needs_id","afterCNC.2019"
41924505,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-04-11",829,"San Diego County","32.7724483382","-116.9166364559",TRUE,117942,"Chrysothrix","genus","needs_id","afterCNC.2019"
40967501,1674700,"tomeara",483,3,"2019-04-26T17:35:15+00:00","2020-03-29",NA,NA,"42.3580289567","-84.0708657007",TRUE,155093,"Cladonia coniocraea","species","needs_id","afterCNC.2019"
40138640,1674700,"tomeara",483,3,"2019-04-26T17:35:15+00:00","2020-03-17",NA,NA,"42.2626361707","-83.7393998606",TRUE,182631,"Phlyctis argena","species","needs_id","afterCNC.2019"
40136157,1674700,"tomeara",483,3,"2019-04-26T17:35:15+00:00","2020-03-17",NA,NA,"42.262661215","-83.7394173843",TRUE,117887,"Physcia","genus","needs_id","afterCNC.2019"
39988707,1667830,"labradorite_luster",355,1,"2019-04-26T00:44:21+00:00","2020-03-10",NA,NA,"45.5364015957","-122.2170740855",TRUE,118245,"Lichenomphalia umbellifera","species","needs_id","afterCNC.2019"
38172271,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-31",54321,"San Francisco Bay Area","38.5021847906","-122.0997717202",TRUE,49490,"Cladonia","genus","needs_id","afterCNC.2019"
38017628,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-25",139279,"Sacramento","38.527962392","-121.7998997296",TRUE,124439,"Physcia adscendens","species","needs_id","afterCNC.2019"
38017627,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-25",139279,"Sacramento","38.527962392","-121.7998997296",TRUE,174748,"Xanthomendoza","genus","needs_id","afterCNC.2019"
38017622,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-25",139279,"Sacramento","38.5279120313","-121.7977656569",TRUE,117887,"Physcia","genus","needs_id","afterCNC.2019"
38017620,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-25",139279,"Sacramento","38.5279120313","-121.7977656569",TRUE,49578,"Ramalina menziesii","species","research","afterCNC.2019"
37808615,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-20",139279,"Sacramento","38.5254391334","-121.7910856148",TRUE,69436,"Flavopunctelia flaventior","species","needs_id","afterCNC.2019"
37808608,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-20",139279,"Sacramento","38.5236193965","-121.7855137873",TRUE,69436,"Flavopunctelia flaventior","species","research","afterCNC.2019"
37768084,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-19",54321,"San Francisco Bay Area","38.5213495818","-121.7774493938",TRUE,48325,"Ramalina","genus","needs_id","afterCNC.2019"
37768083,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-19",54321,"San Francisco Bay Area","38.5213495818","-121.7774493938",TRUE,463837,"Polycauliona polycarpa","species","needs_id","afterCNC.2019"
37766598,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-19",54321,"San Francisco Bay Area","38.2754366045","-121.8232811457",TRUE,154184,"Lepraria","genus","needs_id","afterCNC.2019"
37766587,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-19",54321,"San Francisco Bay Area","38.2751749982","-121.8231993358",TRUE,69436,"Flavopunctelia flaventior","species","needs_id","afterCNC.2019"
37766582,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-19",54321,"San Francisco Bay Area","38.2751749982","-121.8231993358",TRUE,117887,"Physcia","genus","needs_id","afterCNC.2019"
37766579,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-19",54321,"San Francisco Bay Area","38.2751614278","-121.8230045227",TRUE,203086,"Ramalina puberulenta","species","research","afterCNC.2019"
37766569,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-19",54321,"San Francisco Bay Area","38.2751614278","-121.8230045227",TRUE,117887,"Physcia","genus","needs_id","afterCNC.2019"
37766557,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-19",54321,"San Francisco Bay Area","38.2750979476","-121.8233389607",TRUE,124439,"Physcia adscendens","species","research","afterCNC.2019"
37766553,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-19",54321,"San Francisco Bay Area","38.2750979476","-121.8233389607",TRUE,69436,"Flavopunctelia flaventior","species","research","afterCNC.2019"
37324783,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-05",54321,"San Francisco Bay Area","38.5224469592","-121.7792071983",TRUE,55576,"Xanthoria parietina","species","needs_id","afterCNC.2019"
37207185,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-02",829,"San Diego County","32.7154065615","-116.9530486233",TRUE,49490,"Cladonia","genus","needs_id","afterCNC.2019"
37207177,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-02",829,"San Diego County","32.7162781916","-116.952018192",TRUE,49490,"Cladonia","genus","needs_id","afterCNC.2019"
37207148,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-02",829,"San Diego County","32.7171557187","-116.9511442082",TRUE,117938,"Chrysothrix candelaris","species","needs_id","afterCNC.2019"
37207146,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-02",829,"San Diego County","32.717414338","-116.9511424344",TRUE,123230,"Xanthoparmelia cumberlandia","species","research","afterCNC.2019"
37207134,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-02",829,"San Diego County","32.7198417629","-116.9472077808",TRUE,632126,"Protoparmeliopsis muralis","species","research","afterCNC.2019"
37207067,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-02",829,"San Diego County","32.7231912055","-116.9461450412",TRUE,212280,"Acarospora socialis","species","needs_id","afterCNC.2019"
37207066,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-02",829,"San Diego County","32.7231912055","-116.9461450412",TRUE,60724,"Xanthoparmelia","genus","needs_id","afterCNC.2019"
37207059,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-02",829,"San Diego County","32.7231912055","-116.9461450412",TRUE,222944,"Lecanora sierrae","species","research","afterCNC.2019"
37185177,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-01",829,"San Diego County","32.8220672466","-117.0211105043",TRUE,49490,"Cladonia","genus","needs_id","afterCNC.2019"
37185175,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-01",829,"San Diego County","32.8220672466","-117.0211105043",TRUE,215579,"Buellia triseptata","species","research","afterCNC.2019"
37185167,1653276,"lglevanik",11319,2819,"2019-04-23T16:57:29+00:00","2020-01-01",829,"San Diego County","32.8182082882","-117.0220197873",TRUE,117938,"Chrysothrix candelaris","species","needs_id","afterCNC.2019"
