"Year","City","Period","Observations.All"
2021,"Adelaide, South Australia, Australia","before",1064
2021,"Adelaide, South Australia, Australia","during",5438
2021,"Adelaide, South Australia, Australia","after",590
2020,"Adelaide, South Australia, Australia","before",807
2020,"Adelaide, South Australia, Australia","during",6756
2020,"Adelaide, South Australia, Australia","after",509
2022,"Adelaide, South Australia, Australia","before",1212
2022,"Adelaide, South Australia, Australia","during",5436
2022,"Adelaide, South Australia, Australia","after",619
2021,"Alachua County, Florida, USA","before",809
2021,"Alachua County, Florida, USA","during",10521
2021,"Alachua County, Florida, USA","after",1371
2020,"Alachua County, Florida, USA","before",767
2020,"Alachua County, Florida, USA","during",10348
2020,"Alachua County, Florida, USA","after",872
2022,"Alachua County, Florida, USA","before",785
2022,"Alachua County, Florida, USA","during",3981
2022,"Alachua County, Florida, USA","after",2221
2020,"Albuquerque, New Mexico, USA","before",288
2020,"Albuquerque, New Mexico, USA","during",5052
2020,"Albuquerque, New Mexico, USA","after",685
2021,"Albuquerque, New Mexico, USA","before",371
2021,"Albuquerque, New Mexico, USA","during",10658
2021,"Albuquerque, New Mexico, USA","after",853
2022,"Albuquerque, New Mexico, USA","before",644
2022,"Albuquerque, New Mexico, USA","during",13335
2022,"Albuquerque, New Mexico, USA","after",815
2019,"Albuquerque, New Mexico, USA","before",233
2019,"Albuquerque, New Mexico, USA","during",7935
2019,"Albuquerque, New Mexico, USA","after",227
2020,"Ann Arbor, Michigan, USA","before",262
2020,"Ann Arbor, Michigan, USA","during",1770
2020,"Ann Arbor, Michigan, USA","after",346
2021,"Ann Arbor, Michigan, USA","before",452
2021,"Ann Arbor, Michigan, USA","during",1527
2021,"Ann Arbor, Michigan, USA","after",579
2020,"Western NC, North Carolina, USA","before",1339
2020,"Western NC, North Carolina, USA","during",6520
2020,"Western NC, North Carolina, USA","after",1444
2019,"Western NC, North Carolina, USA","before",618
2019,"Western NC, North Carolina, USA","during",5310
2019,"Western NC, North Carolina, USA","after",779
2022,"Western NC, North Carolina, USA","before",2738
2022,"Western NC, North Carolina, USA","during",7763
2022,"Western NC, North Carolina, USA","after",3056
2019,"Atlanta, Georgia, USA","before",694
2019,"Atlanta, Georgia, USA","during",8978
2019,"Atlanta, Georgia, USA","after",700
2020,"Atlanta, Georgia, USA","before",1169
2020,"Atlanta, Georgia, USA","during",7369
2020,"Atlanta, Georgia, USA","after",1185
2021,"Atlanta, Georgia, USA","before",2528
2021,"Atlanta, Georgia, USA","during",7337
2021,"Atlanta, Georgia, USA","after",2217
2022,"Atlanta, Georgia, USA","before",1513
2022,"Atlanta, Georgia, USA","during",6733
2022,"Atlanta, Georgia, USA","after",1558
2020,"Auckland, Auckland, New Zealand","before",590
2020,"Auckland, Auckland, New Zealand","during",2291
2020,"Auckland, Auckland, New Zealand","after",734
2018,"Austin, Texas, USA","before",2227
2018,"Austin, Texas, USA","during",17747
2018,"Austin, Texas, USA","after",1880
2022,"Austin, Texas, USA","before",6275
2022,"Austin, Texas, USA","during",20211
2022,"Austin, Texas, USA","after",4437
2020,"Austin, Texas, USA","before",5058
2020,"Austin, Texas, USA","during",18727
2020,"Austin, Texas, USA","after",4842
2021,"Austin, Texas, USA","before",5622
2021,"Austin, Texas, USA","during",17287
2021,"Austin, Texas, USA","after",4286
2019,"Austin, Texas, USA","before",2892
2019,"Austin, Texas, USA","during",16275
2019,"Austin, Texas, USA","after",2956
2021,"Baltimore, Maryland, USA","before",3067
2021,"Baltimore, Maryland, USA","during",13643
2021,"Baltimore, Maryland, USA","after",3629
2022,"Baltimore, Maryland, USA","before",2241
2022,"Baltimore, Maryland, USA","during",8016
2022,"Baltimore, Maryland, USA","after",2441
2020,"Baltimore, Maryland, USA","before",1338
2020,"Baltimore, Maryland, USA","during",11115
2020,"Baltimore, Maryland, USA","after",1934
2018,"Baltimore, Maryland, USA","before",535
2018,"Baltimore, Maryland, USA","during",6155
2018,"Baltimore, Maryland, USA","after",1385
2019,"Baltimore, Maryland, USA","before",1123
2019,"Baltimore, Maryland, USA","during",8787
2019,"Baltimore, Maryland, USA","after",659
2018,"Barcelona Metropolitan Area, Catalonia","before",70
2018,"Barcelona Metropolitan Area, Catalonia","during",851
2018,"Barcelona Metropolitan Area, Catalonia","after",124
2021,"Baton Rouge, Louisiana, USA","before",1336
2021,"Baton Rouge, Louisiana, USA","during",7617
2021,"Baton Rouge, Louisiana, USA","after",606
2022,"Baton Rouge, Louisiana, USA","before",590
2022,"Baton Rouge, Louisiana, USA","during",13757
2022,"Baton Rouge, Louisiana, USA","after",501
2022,"Berlin, Germany","before",486
2022,"Berlin, Germany","during",4855
2022,"Berlin, Germany","after",546
2021,"Berlin, Germany","before",299
2021,"Berlin, Germany","during",5035
2021,"Berlin, Germany","after",525
2018,"Berlin, Germany","before",21
2018,"Berlin, Germany","during",132
2018,"Berlin, Germany","after",41
2019,"Berlin, Germany","before",125
2019,"Berlin, Germany","during",353
2019,"Berlin, Germany","after",408
2020,"Birmingham & Black Country, Midlands, UK","before",648
2020,"Birmingham & Black Country, Midlands, UK","during",15973
2020,"Birmingham & Black Country, Midlands, UK","after",625
2021,"Birmingham & Black Country, Midlands, UK","before",345
2021,"Birmingham & Black Country, Midlands, UK","during",9258
2021,"Birmingham & Black Country, Midlands, UK","after",394
2022,"Birmingham & Black Country, Midlands, UK","before",307
2022,"Birmingham & Black Country, Midlands, UK","during",12813
2022,"Birmingham & Black Country, Midlands, UK","after",345
2021,"Birmingham Metro Area, Alabama, USA","before",997
2021,"Birmingham Metro Area, Alabama, USA","during",1209
2021,"Birmingham Metro Area, Alabama, USA","after",869
2019,"Birmingham Metro Area, Alabama, USA","before",488
2019,"Birmingham Metro Area, Alabama, USA","during",3386
2019,"Birmingham Metro Area, Alabama, USA","after",300
2020,"Birmingham Metro Area, Alabama, USA","before",492
2020,"Birmingham Metro Area, Alabama, USA","during",1844
2020,"Birmingham Metro Area, Alabama, USA","after",586
2019,"Bogotá, Colombia","before",166
2019,"Bogotá, Colombia","during",10646
2019,"Bogotá, Colombia","after",280
2022,"Bogotá, Colombia","before",282
2022,"Bogotá, Colombia","during",4626
2022,"Bogotá, Colombia","after",349
2021,"Bogotá, Colombia","before",205
2021,"Bogotá, Colombia","during",6481
2021,"Bogotá, Colombia","after",380
2018,"Bogotá, Colombia","before",121
2018,"Bogotá, Colombia","during",8052
2018,"Bogotá, Colombia","after",93
2021,"Boise, Idaho, USA","before",143
2021,"Boise, Idaho, USA","during",3158
2021,"Boise, Idaho, USA","after",153
2022,"Boise, Idaho, USA","before",139
2022,"Boise, Idaho, USA","during",2251
2022,"Boise, Idaho, USA","after",312
2020,"Bolzano, South Tyrol, Italy","before",14
2020,"Bolzano, South Tyrol, Italy","during",505
2020,"Bolzano, South Tyrol, Italy","after",37
2018,"Boston, Massachusetts, USA","before",675
2018,"Boston, Massachusetts, USA","during",16670
2018,"Boston, Massachusetts, USA","after",903
2021,"Boston, Massachusetts, USA","before",2954
2021,"Boston, Massachusetts, USA","during",24663
2021,"Boston, Massachusetts, USA","after",7023
2019,"Boston, Massachusetts, USA","before",1400
2019,"Boston, Massachusetts, USA","during",20469
2019,"Boston, Massachusetts, USA","after",1529
2020,"Boston, Massachusetts, USA","before",2551
2020,"Boston, Massachusetts, USA","during",15362
2020,"Boston, Massachusetts, USA","after",3723
2022,"Boston, Massachusetts, USA","before",4576
2022,"Boston, Massachusetts, USA","during",21825
2022,"Boston, Massachusetts, USA","after",6184
2019,"Denver-Boulder Metro, Colorado, USA","before",278
2019,"Denver-Boulder Metro, Colorado, USA","during",6379
2019,"Denver-Boulder Metro, Colorado, USA","after",856
2018,"Denver-Boulder Metro, Colorado, USA","before",233
2018,"Denver-Boulder Metro, Colorado, USA","during",8931
2018,"Denver-Boulder Metro, Colorado, USA","after",564
2020,"Denver-Boulder Metro, Colorado, USA","before",635
2020,"Denver-Boulder Metro, Colorado, USA","during",7124
2020,"Denver-Boulder Metro, Colorado, USA","after",1477
2021,"Denver-Boulder Metro, Colorado, USA","before",544
2021,"Denver-Boulder Metro, Colorado, USA","during",4512
2021,"Denver-Boulder Metro, Colorado, USA","after",2175
2022,"Denver-Boulder Metro, Colorado, USA","before",915
2022,"Denver-Boulder Metro, Colorado, USA","during",3139
2022,"Denver-Boulder Metro, Colorado, USA","after",2632
2021,"Brasília, Brasil","before",460
2021,"Brasília, Brasil","during",3643
2021,"Brasília, Brasil","after",317
2022,"Brasília, Brasil","before",504
2022,"Brasília, Brasil","during",2196
2022,"Brasília, Brasil","after",398
2019,"Brasília, Brasil","before",143
2019,"Brasília, Brasil","during",802
2019,"Brasília, Brasil","after",91
2021,"Brighton, Sussex, UK","before",137
2021,"Brighton, Sussex, UK","during",6114
2021,"Brighton, Sussex, UK","after",175
2020,"Brighton, Sussex, UK","before",51
2020,"Brighton, Sussex, UK","during",1923
2020,"Brighton, Sussex, UK","after",137
2022,"Brighton, Sussex, UK","before",186
2022,"Brighton, Sussex, UK","during",7121
2022,"Brighton, Sussex, UK","after",332
2018,"Bristol & Bath City Region, UK","before",190
2018,"Bristol & Bath City Region, UK","during",9474
2018,"Bristol & Bath City Region, UK","after",175
2019,"Bristol & Bath City Region, UK","before",198
2019,"Bristol & Bath City Region, UK","during",15181
2019,"Bristol & Bath City Region, UK","after",347
2020,"Bristol & Bath City Region, UK","before",564
2020,"Bristol & Bath City Region, UK","during",8915
2020,"Bristol & Bath City Region, UK","after",977
2022,"Bristol & Bath City Region, UK","before",791
2022,"Bristol & Bath City Region, UK","during",8006
2022,"Bristol & Bath City Region, UK","after",743
2021,"Bristol & Bath City Region, UK","before",502
2021,"Bristol & Bath City Region, UK","during",8658
