"user.id","start.date","end.date","n_obs","n_obs_all"
2492854,2019-10-25,2020-01-23,0,3
2492854,2020-01-24,2020-04-23,0,2
2492854,2020-04-24,2020-07-23,0,0
2492854,2020-07-24,2020-10-22,0,0
2492854,2020-10-23,2021-01-28,0,3
2492854,2021-01-29,2021-04-29,0,12
2492854,2021-04-30,2021-07-29,1,3
2492854,2021-07-30,2021-10-28,0,9
2492854,2021-10-29,2022-01-27,0,13
2492854,2022-01-28,2022-04-28,0,10
2492854,2022-04-29,2022-07-28,0,9
2492854,2022-07-29,2022-10-27,0,4
2492854,2022-10-28,2023-01-26,0,13
1727030,2019-04-26,2019-07-25,1,94
1727030,2019-07-26,2019-10-24,9,558
1727030,2019-10-25,2020-01-23,2,567
1727030,2020-01-24,2020-04-23,1,281
1727030,2020-04-24,2020-07-23,19,862
1727030,2020-07-24,2020-10-22,8,846
1727030,2020-10-23,2021-01-28,0,716
1727030,2021-01-29,2021-04-29,3,149
1727030,2021-04-30,2021-07-29,11,475
1727030,2021-07-30,2021-10-28,10,985
1727030,2021-10-29,2022-01-27,0,118
1727030,2022-01-28,2022-04-28,0,441
1727030,2022-04-29,2022-07-28,0,118
1727030,2022-07-29,2022-10-27,0,77
1727030,2022-10-28,2023-01-26,0,85
997336,2018-04-27,2018-07-26,0,936
997336,2018-07-27,2018-10-25,2,2086
997336,2018-10-26,2019-01-24,0,1175
997336,2019-01-25,2019-04-25,2,735
997336,2019-04-26,2019-07-25,14,1303
997336,2019-07-26,2019-10-24,8,1875
997336,2019-10-25,2020-01-23,1,1413
997336,2020-01-24,2020-04-23,0,1868
997336,2020-04-24,2020-07-23,15,2762
997336,2020-07-24,2020-10-22,17,3061
997336,2020-10-23,2021-01-28,4,830
997336,2021-01-29,2021-04-29,0,1613
997336,2021-04-30,2021-07-29,2,1723
997336,2021-07-30,2021-10-28,4,2303
997336,2021-10-29,2022-01-27,0,331
997336,2022-01-28,2022-04-28,0,458
997336,2022-04-29,2022-07-28,4,1561
997336,2022-07-29,2022-10-27,3,904
997336,2022-10-28,2023-01-26,1,616
1174361,2018-07-27,2018-10-25,0,0
1174361,2018-10-26,2019-01-24,0,0
1174361,2019-01-25,2019-04-25,0,0
1174361,2019-04-26,2019-07-25,0,0
1174361,2019-07-26,2019-10-24,0,0
1174361,2019-10-25,2020-01-23,0,0
1174361,2020-01-24,2020-04-23,1,4
1174361,2020-04-24,2020-07-23,0,8
1174361,2020-07-24,2020-10-22,1,25
1174361,2020-10-23,2021-01-28,0,5
1174361,2021-01-29,2021-04-29,0,1
1174361,2021-04-30,2021-07-29,1,10
1174361,2021-07-30,2021-10-28,0,15
1174361,2021-10-29,2022-01-27,0,4
1174361,2022-01-28,2022-04-28,0,4
1174361,2022-04-29,2022-07-28,0,9
1174361,2022-07-29,2022-10-27,0,2
1174361,2022-10-28,2023-01-26,0,3
1505157,2019-01-25,2019-04-25,1,80
1505157,2019-04-26,2019-07-25,0,4
1505157,2019-07-26,2019-10-24,1,156
1505157,2019-10-25,2020-01-23,0,165
1505157,2020-01-24,2020-04-23,0,61
1505157,2020-04-24,2020-07-23,3,156
1505157,2020-07-24,2020-10-22,1,200
1505157,2020-10-23,2021-01-28,0,60
1505157,2021-01-29,2021-04-29,0,27
1505157,2021-04-30,2021-07-29,1,98
1505157,2021-07-30,2021-10-28,0,81
1505157,2021-10-29,2022-01-27,0,45
1505157,2022-01-28,2022-04-28,0,26
1505157,2022-04-29,2022-07-28,0,70
