"Family","Genus","Authority","id","taxonID","identifier","parentNameUsageID","kingdom","phylum","class","order","family","specificEpithet","infraspecificEpithet","modified","scientificName","taxonRank","references"
"Acarosporaceae","Acarospora","A. Massal.",117932,"https://www.inaturalist.org/taxa/117932","https://www.inaturalist.org/taxa/117932","https://www.inaturalist.org/taxa/117931","Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporaceae","","","2019-10-20T15:19:49Z","Acarospora","genus","http://www.catalogueoflife.org/annual-checklist/2010/browse/tree/id/2267752"
"Acarosporaceae","Caeruleum","Arcadia",464188,"https://www.inaturalist.org/taxa/464188","https://www.inaturalist.org/taxa/464188","https://www.inaturalist.org/taxa/117931","Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporaceae","","","2015-05-17T15:01:34Z","Caeruleum","genus","http://speciesfungorum.org/"
"Acarosporaceae","Eiglera","Hafellner",175843,"https://www.inaturalist.org/taxa/175843","https://www.inaturalist.org/taxa/175843","https://www.inaturalist.org/taxa/174820","Fungi","Ascomycota","Lecanoromycetes","Hymeneliales","Hymeneliaceae","","","2012-10-23T23:15:27Z","Eiglera","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2378738"
"Acarosporaceae","Glypholecia","Nyl.",175814,"https://www.inaturalist.org/taxa/175814","https://www.inaturalist.org/taxa/175814","https://www.inaturalist.org/taxa/117931","Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporaceae","","","2012-10-23T23:14:34Z","Glypholecia","genus","http://www.ubio.org/browser/details.php?namebankID=2560828"
"Acarosporaceae","Lithoglypha","Brusse",864157,"https://www.inaturalist.org/taxa/864157","https://www.inaturalist.org/taxa/864157","https://www.inaturalist.org/taxa/117931","Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporaceae","","","2019-02-11T21:58:56Z","Lithoglypha","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2456253"
"Acarosporaceae","Myriospora","Nägeli ex Uloth",464186,"https://www.inaturalist.org/taxa/464186","https://www.inaturalist.org/taxa/464186","https://www.inaturalist.org/taxa/117931","Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporaceae","","","2022-10-21T16:54:11Z","Myriospora","genus",""
"Acarosporaceae","Pleopsidium","Körb.",154252,"https://www.inaturalist.org/taxa/154252","https://www.inaturalist.org/taxa/154252","https://www.inaturalist.org/taxa/117931","Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporaceae","","","2019-08-27T02:11:53Z","Pleopsidium","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2390014"
"Acarosporaceae","Polysporina","Vězda",175418,"https://www.inaturalist.org/taxa/175418","https://www.inaturalist.org/taxa/175418","https://www.inaturalist.org/taxa/117931","Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporaceae","","","2012-10-23T22:57:28Z","Polysporina","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2390046"
"Acarosporaceae","Sarcogyne","Flot.",175047,"https://www.inaturalist.org/taxa/175047","https://www.inaturalist.org/taxa/175047","https://www.inaturalist.org/taxa/117931","Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporaceae","","","2019-08-27T02:11:54Z","Sarcogyne","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2378998"
"Acarosporaceae","Trimmatothelopsis","Zschacke",532740,"https://www.inaturalist.org/taxa/532740","https://www.inaturalist.org/taxa/532740","https://www.inaturalist.org/taxa/117931","Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporaceae","","","2017-02-19T05:34:55Z","Trimmatothelopsis","genus","https://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm"
"Andreiomycetaceae","Andreiomyces","B.P. Hodk. & Lendemer",508843,"https://www.inaturalist.org/taxa/508843","https://www.inaturalist.org/taxa/508843","https://www.inaturalist.org/taxa/508842","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Andreiomycetaceae","","","2016-09-27T23:42:15Z","Andreiomyces","genus","http://speciesfungorum.org/"
"Antennulariellaceae","Antennulariella","Woron.",373925,"https://www.inaturalist.org/taxa/373925","https://www.inaturalist.org/taxa/373925","https://www.inaturalist.org/taxa/373253","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Antennulariellaceae","","","2014-10-12T23:14:35Z","Antennulariella","genus",""
"Aphanopsidaceae","Aphanopsis","Nyl. ex Sydow",1049259,"https://www.inaturalist.org/taxa/1049259","https://www.inaturalist.org/taxa/1049259","https://www.inaturalist.org/taxa/792618","Fungi","Ascomycota","","","Aphanopsidaceae","","","2020-03-21T16:20:46Z","Aphanopsis","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2377043"
