"id","taxonID","identifier","parentNameUsageID","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","modified","scientificName","taxonRank","references"
48325,"https://www.inaturalist.org/taxa/48325","https://www.inaturalist.org/taxa/48325","https://www.inaturalist.org/taxa/48326","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Ramalina","","","2019-11-23T01:23:20Z","Ramalina","genus","http://www.catalogueoflife.org/browse_taxa.php?selected_taxon=18226"
48711,"https://www.inaturalist.org/taxa/48711","https://www.inaturalist.org/taxa/48711","https://www.inaturalist.org/taxa/48714","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Lobariaceae","Lobaria","pulmonaria","","2019-09-13T19:21:36Z","Lobaria pulmonaria","species","http://www.catalogueoflife.org/show_species_details.php?record_id=341095"
48714,"https://www.inaturalist.org/taxa/48714","https://www.inaturalist.org/taxa/48714","https://www.inaturalist.org/taxa/48713","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Lobariaceae","Lobaria","","","2019-11-23T01:23:22Z","Lobaria","genus","http://www.catalogueoflife.org/browse_taxa.php?selected_taxon=30235"
49488,"https://www.inaturalist.org/taxa/49488","https://www.inaturalist.org/taxa/49488","https://www.inaturalist.org/taxa/1080564","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","chlorophaea","","2021-01-27T00:03:08Z","Cladonia chlorophaea","species","http://www.catalogueoflife.org/annual-checklist/2008/show_species_details.php?record_id=240753"
49490,"https://www.inaturalist.org/taxa/49490","https://www.inaturalist.org/taxa/49490","https://www.inaturalist.org/taxa/49489","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","","","2019-11-25T16:10:44Z","Cladonia","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2377627"
49578,"https://www.inaturalist.org/taxa/49578","https://www.inaturalist.org/taxa/49578","https://www.inaturalist.org/taxa/48325","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Ramalina","menziesii","","2018-01-29T05:46:33Z","Ramalina menziesii","species","http://www.ubio.org/browser/details.php?namebankID=8304191"
50252,"https://www.inaturalist.org/taxa/50252","https://www.inaturalist.org/taxa/50252","https://www.inaturalist.org/taxa/50253","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanoraceae","Lecanora","","","2019-09-17T23:23:22Z","Lecanora","genus","http://www.catalogueoflife.org/annual-checklist/2008/browse_taxa.php?selected_taxon=18519"
54283,"https://www.inaturalist.org/taxa/54283","https://www.inaturalist.org/taxa/54283","https://www.inaturalist.org/taxa/54284","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","cervicornis","cervicornis","2015-04-03T23:10:50Z","Cladonia cervicornis cervicornis","subspecies","http://www.catalogueoflife.org/annual-checklist/2009/show_species_details.php?record_id=2013517"
54284,"https://www.inaturalist.org/taxa/54284","https://www.inaturalist.org/taxa/54284","https://www.inaturalist.org/taxa/49490","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","cervicornis","","2022-04-07T23:51:35Z","Cladonia cervicornis","species",""
54294,"https://www.inaturalist.org/taxa/54294","https://www.inaturalist.org/taxa/54294","https://www.inaturalist.org/taxa/54295","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Peltigeraceae","Peltigera","","","2019-11-23T01:23:22Z","Peltigera","genus","http://www.catalogueoflife.org/annual-checklist/2009/browse_taxa.php?selected_taxon=25778"
