year,period,date_from,date_to
2018,before,4/13/2018,4/16/2018
2018,during,4/27/2018,4/30/2018
2018,after,5/11/2018,5/14/2018
2019,before,4/12/2019,4/15/2019
2019,during,4/26/2019,4/29/2019
2019,after,5/10/2019,5/13/2019
2020,before,4/10/2020,4/13/2020
2020,during,4/24/2020,4/27/2020
2020,after,5/8/2020,5/11/2020
2021,before,4/16/2021,4/19/2021
2021,during,4/30/2021,5/3/2021
2021,after,5/14/2021,5/17/2021
2022,before,4/15/2022,4/18/2022
2022,during,4/29/2022,5/2/2022
2022,after,5/13/2022,5/16/2022
