County,Year,obs_lichen,obs_all,obs_pct_lichen,users_lichen,users_all,users_pct_lichen,taxa_lichen,taxa_all,taxa_pct_lichen
San Francisco,2019,554,38028,0.014568,151,1947,0.077555,119,3183,0.037386
San Francisco,2020,443,31450,0.014086,128,2496,0.051282,112,2975,0.037647
Los Angeles,2019,47,34125,0.001377,26,1555,0.016720,28,3249,0.008618
Los Angeles,2020,28,19134,0.001463,14,1568,0.008929,17,2494,0.006816
San Diego,2019,278,38241,0.007270,61,1188,0.051347,93,3019,0.030805
San Diego,2020,93,17213,0.005403,26,920,0.028261,38,2409,0.015774
Sacramento,2019,38,9798,0.003878,25,536,0.046642,12,1279,0.009382
Sacramento,2020,33,8703,0.003792,17,742,0.022911,28,1654,0.016929
Orange,2020,8,3921,0.002040,4,281,0.014235,8,1078,0.007421
Mendocino,2020,15,1407,0.010661,6,106,0.056604,12,624,0.019231
