"City","Year","Period","n_obs","n_obs_RG","n_taxa","n_users","n_obs_all","taxa"
"Adelaide, South Australia, Australia",2020,"during",18,4,13,11,6756,"69430 355906 117951 67747 49490 174748 117942 122029 55576 532533 400878 125773 154184 55553"
"Adelaide, South Australia, Australia",2020,"after",2,1,2,2,509,"49490 355906"
"Adelaide, South Australia, Australia",2021,"before",8,0,8,5,1064,"48325 355354 55576 69430 54735 175944 119888 55553"
"Adelaide, South Australia, Australia",2021,"during",19,3,10,12,5438,"48325 117951 55553 355354 55576 49490 69430 117887 54757 67747 117865"
"Adelaide, South Australia, Australia",2021,"after",3,1,3,3,590,"60724 49490 355906"
"Adelaide, South Australia, Australia",2022,"before",7,2,5,4,1212,"122029 117859 67747 55576 355354 117887"
"Adelaide, South Australia, Australia",2022,"during",37,3,16,12,5436,"155094 49490 355354 55576 48325 117951 69430 117892 55553 117867 229760 69211 50252 67747 117887 463837 182439 117899 54757"
"Adelaide, South Australia, Australia",2022,"after",2,0,2,2,619,"155093 55554"
"Alachua County, Florida, USA",2020,"before",4,2,2,3,767,"464189 121176"
"Alachua County, Florida, USA",2020,"during",83,30,14,48,10348,"322661 464189 117867 67747 176035 532533 463344 175893 49490 205079 175440 132205 121176 460246 227252 48325 155091 69436"
"Alachua County, Florida, USA",2020,"after",3,2,3,2,872,"67747 205079 464189"
"Alachua County, Florida, USA",2021,"before",6,0,5,4,809,"67747 117896 217269 48325 55554 121176"
"Alachua County, Florida, USA",2021,"during",70,22,14,28,10521,"175440 121176 322661 464189 48325 67747 117867 69430 200925 532533 155091 49490 176035 463745 460246 462848 227252 182631"
"Alachua County, Florida, USA",2021,"after",4,3,2,3,1371,"464189 67747"
"Alachua County, Florida, USA",2022,"during",22,3,9,6,3981,"67747 49490 229779 227259 155090 464189 460246 117867 121176 227252 117938 205079"
"Alachua County, Florida, USA",2022,"after",10,2,7,6,2221,"464189 117938 127423 117892 710073 222950 460246"
"Albuquerque, New Mexico, USA",2019,"before",1,0,1,1,233,"212280"
"Albuquerque, New Mexico, USA",2019,"during",48,4,21,14,7935,"532349 229245 175654 49490 203087 125055 60724 121176 344442 48325 67747 69430 69437 117962 69468 123230 117887 174748 220115 182679 229777 179366 532267 117943 132303 175359 632126 117951"
"Albuquerque, New Mexico, USA",2020,"before",1,0,1,1,288,"229777"
"Albuquerque, New Mexico, USA",2020,"during",33,5,20,8,5052,"117859 223123 67747 117988 155090 55576 182679 69436 229777 175170 154107 182502 230002 60724 174748 123230 54294 155094 222823 532267 229083 154252 194681 69437"
"Albuquerque, New Mexico, USA",2020,"after",3,0,3,1,685,"344442 632126 55576"
"Albuquerque, New Mexico, USA",2021,"before",1,0,1,1,371,"212280"
"Albuquerque, New Mexico, USA",2021,"during",64,12,22,30,10658,"175359 174748 212280 632126 60724 48325 67747 194681 117932 344442 126626 155094 59968 532267 175859 224079 175944 175612 175350 69436 69437 175355 132303 182679 55576 49490 69430 118245"
"Albuquerque, New Mexico, USA",2022,"before",7,2,7,4,644,"117887 121176 154250 175359 532267 123230 126626"
"Albuquerque, New Mexico, USA",2022,"during",83,15,25,27,13335,"532563 69436 532267 230002 48325 55576 205689 60724 155094 194681 182679 182455 123230 67747 344442 182502 212280 117932 69430 175350 121176 632126 532349 233474 175359 154252 220115 126626 54608 69437 203087 174748"
"Albuquerque, New Mexico, USA",2022,"after",6,0,5,3,815,"67747 175359 154128 69468 48325 182679"
"Ann Arbor, Michigan, USA",2020,"during",14,0,9,4,1770,"175433 155090 117887 69211 54734 117943 200925 117932 117865 117951 55576"
"Ann Arbor, Michigan, USA",2020,"after",1,0,1,1,346,"49490"
"Ann Arbor, Michigan, USA",2021,"during",2,0,2,1,1527,"117887 54734"
"Ann Arbor, Michigan, USA",2021,"after",1,0,1,1,579,"69430"
"Atlanta, Georgia, USA",2019,"before",1,0,1,1,694,"121176"
"Atlanta, Georgia, USA",2019,"during",73,29,48,19,8978,"227234 217145 67747 217093 117951 460246 121176 119669 49490 119778 117943 117987 227252 205699 229703 217116 508931 217153 230281 203800 222950 532533 224451 220637 227557 205567 214300 228037 229590 229589 182554 463344 225437 463070 227582 205846 117422 155091 463745 532583 229574 233323 210356 463347 54294 227408 463677 117892 222085 228058 182631"
"Atlanta, Georgia, USA",2019,"after",2,0,2,2,700,"49490 205470"
"Atlanta, Georgia, USA",2020,"before",9,6,9,4,1169,"550161 49490 228055 710073 463898 462441 151767 233685 121176"
"Atlanta, Georgia, USA",2020,"during",37,13,18,22,7369,"462441 228055 182701 121176 532533 117892 227252 117943 155091 117867 117992 60724 217116 151767 67747 182631 320843 49490 117987 69430 119669 69436"
"Atlanta, Georgia, USA",2020,"after",18,6,11,10,1185,"460246 117943 233685 227235 205846 60715 155091 121176 180523 463354 532533"
"Atlanta, Georgia, USA",2021,"before",3,0,2,3,2528,"49490 217116 205846"
"Atlanta, Georgia, USA",2021,"during",57,18,23,19,7337,"151767 117951 630829 155495 117892 67747 117943 125773 69437 182631 155091 117987 117867 121176 60724 320843 48325 117992 221305 226107 117925 69430 228055 463777 460246 49490 217100 155095 175440 200925"
"Atlanta, Georgia, USA",2021,"after",16,2,9,6,2217,"117943 60724 49490 203800 125773 67747 1020964 155091 182675 233685"
"Atlanta, Georgia, USA",2022,"before",7,4,5,2,1513,"233685 125773 504616 175440 54294 67747"
"Atlanta, Georgia, USA",2022,"during",191,39,96,17,6733,"182713 217145 230263 462721 203713 460246 117867 462441 67747 217116 463898 345245 229807 463135 463141 463055 463344 224451 117854 463305 532063 229589 463726 214359 352461 463325 117987 1134958 155082 228643 463745 217132 463019 227582 225437 205567 224523 227560 462578 214741 60715 69430 228055 227661 710073 532235 155095 227579 210356 463258 117943 227252 155091 228058 233300 463677 194163 229574 220443 532583 228037 463004 117900 462434 220638 222950 205846 463139 222085 233323 117892 221305 151767 182656 229703 226107 175247 148365 125773 49490 48325 117887 117968 175969 630829 155495 200925 117992 117980 117947 117962 60709 217270 210576 229702 117929 182554 54735 121176 463964 205689 50252 55554 117942 532533 182631 117422 117951 60724 217100 463327 154184"
"Auckland, Auckland, New Zealand",2020,"before",7,2,6,6,590,"83475 229759 182679 355322 355352 203800"
"Auckland, Auckland, New Zealand",2020,"during",22,2,14,10,2291,"54735 182679 67747 117867 49490 179761 406192 117865 318589 117938 355322 50252 597251 415652 182631"
"Austin, Texas, USA",2018,"during",108,39,31,31,17747,"54735 117877 174753 229779 117943 55553 117867 229759 182675 229760 155091 121176 232361 155092 69430 117874 200925 48325 203897 123348 117887 510865 54734 203093 54758 117942 123511 117951 220112 117892 227235 229256 233293 227252 218573 117938 228058 532267 55554"
"Austin, Texas, USA",2018,"after",1,0,1,1,1880,"67747"
"Austin, Texas, USA",2019,"before",1,1,1,1,2892,"55553"
"Austin, Texas, USA",2019,"during",97,35,28,41,16275,"55576 155090 229759 117942 55553 117867 151767 117938 232361 117874 54758 54734 50252 229441 203093 200925 127423 227235 121176 48325 233685 69430 117943 124439 229760 117877 155091 154129 67747 117887 229702 123348 229779"
"Austin, Texas, USA",2019,"after",2,0,2,2,2956,"55554 117943"
"Austin, Texas, USA",2020,"before",15,4,10,8,5058,"55554 233685 463837 117887 117962 232361 55553 121176 229759 117874 117867"
"Austin, Texas, USA",2020,"during",112,42,31,36,18727,"48325 233685 117887 229759 117938 203800 212280 148365 1019864 229245 174748 510865 232361 117867 229760 127423 117865 229779 155091 182675 229765 194163 55553 69430 182631 117943 54758 227252 54735 182613 233293 463677 67747 55554 121176 69211"
"Austin, Texas, USA",2020,"after",6,3,5,6,4842,"232361 55553 205689 155091 155090"
"Austin, Texas, USA",2021,"before",33,10,20,6,5622,"229759 232361 463344 155497 175944 175047 154107 532348 117932 227235 117938 227252 229441 55553 54758 229760 48325 50252 117865 117867 229765 117877"
"Austin, Texas, USA",2021,"during",170,55,43,40,17287,"55576 55553 69436 117877 151767 229760 117943 155091 48325 229441 222950 227252 117892 233685 127423 229759 232361 155090 69430 229245 510865 117887 127119 227235 205689 71060 229769 229779 121176 229444 117874 125773 154128 174833 463677 174748 117938 117867 54758 182675 229765 69211 182679 463837 67747 175758 154184 55554 463344 117951 460246 54734 148365"
"Austin, Texas, USA",2021,"after",4,1,3,3,4286,"232361 229759 227252"
"Austin, Texas, USA",2022,"before",25,5,16,9,6275,"217270 117877 155090 175848 215810 48325 229759 121176 232361 148365 532349 120384 117938 233685 222950 49490 55554 174748 182467"
"Austin, Texas, USA",2022,"during",197,37,51,39,20211,"55553 117877 232361 229759 532533 55554 222950 117867 233685 205689 370222 54758 155091 69430 229441 510865 229245 54734 175758 50252 174748 117887 194163 154129 182467 117943 127423 151767 123348 630829 345245 155090 227252 182675 67747 227235 48325 226107 117865 121176 229760 69211 117942 117892 117938 175859 229779 155094 175247 630835 228037 120384 462706 123457 463344 174753 117932 532349 148365 632126 229765 49490 175440"
"Austin, Texas, USA",2022,"after",4,2,3,2,4437,"155090 55553 233685"
"Baltimore, Maryland, USA",2018,"before",2,2,2,2,535,"117943 148365"
"Baltimore, Maryland, USA",2018,"during",46,13,10,33,6155,"49490 117422 117943 54734 155093 117867 200925 151767 155092 54735 532533 117951 155091 155090"
"Baltimore, Maryland, USA",2018,"after",7,1,5,6,1385,"460246 69430 117943 222950 117874"
"Baltimore, Maryland, USA",2019,"before",4,1,3,3,1123,"151767 117943 117877"
"Baltimore, Maryland, USA",2019,"during",50,18,16,30,8787,"117943 117951 200925 148365 69430 117938 182679 125754 119669 69436 151767 155093 60724 117889 460246 49490 117987 320843"
"Baltimore, Maryland, USA",2019,"after",1,0,1,1,659,"117943"
"Baltimore, Maryland, USA",2020,"before",1,0,1,1,1338,"117867"
"Baltimore, Maryland, USA",2020,"during",53,12,16,33,11115,"200925 117943 155091 60709 69436 69430 69211 117887 117942 117951 148365 49490 69468 182656 151767 182613 119669 117867 121208 463344 117422 67343 182631"
"Baltimore, Maryland, USA",2020,"after",4,2,3,2,1934,"175944 125773 117943"
"Baltimore, Maryland, USA",2021,"before",5,2,3,4,3067,"125773 155090 49490 119669"
"Baltimore, Maryland, USA",2021,"during",36,12,13,26,13643,"54734 69436 117943 117867 463344 148365 117887 69211 155091 320843 182713 49490 182656 117951 117942 710073"
"Baltimore, Maryland, USA",2021,"after",7,4,6,6,3629,"117943 69430 49488 69211 121208 121176 151767"
"Baltimore, Maryland, USA",2022,"before",5,0,5,3,2241,"125773 463344 69436 117887 117938"
"Baltimore, Maryland, USA",2022,"during",21,4,9,14,8016,"117943 155091 54734 460246 49488 151767 69211 182713 69436 463071 117951"
"Baltimore, Maryland, USA",2022,"after",4,2,3,4,2441,"182467 69211 117951 117943"
"Barcelona Metropolitan Area, Catalonia",2018,"before",2,2,1,1,70,"55576"
"Baton Rouge, Louisiana, USA",2021,"before",7,2,3,4,1336,"48325 182631 121176"
"Baton Rouge, Louisiana, USA",2021,"during",42,8,15,24,7617,"121176 117943 155091 67747 464189 117987 117867 54758 200925 227252 48325 222950 67343 205689 123114 151767 55554 233685 232361"
"Baton Rouge, Louisiana, USA",2022,"during",47,6,13,28,13757,"48325 121176 200925 117867 54758 67747 155091 464189 227252 205079 117892 155095 117943 229441 221305 151767"
"Berlin, Germany",2019,"before",7,7,3,1,125,"55576 54734 632126"
"Berlin, Germany",2019,"after",1,1,1,1,408,"55576"
"Berlin, Germany",2021,"before",1,1,1,1,299,"55576"
"Berlin, Germany",2021,"during",142,70,21,7,5035,"55576 60718 117887 124439 49490 155093 194686 54734 632126 462706 179366 531563 463837 117971 155497 1019864 182455 179720 123175 117943 182652 182631 223123"
"Berlin, Germany",2021,"after",5,4,5,1,525,"223123 463837 124439 60718 55576"
"Berlin, Germany",2022,"during",186,98,30,7,4855,"124439 54734 49490 182631 462706 69211 55576 228059 179366 155497 531563 117887 632126 60718 123175 117867 463485 179720 399803 194681 462563 182455 155094 532267 50252 155093 463837 223123 1019864 463479 54758 179864 154184"
"Berlin, Germany",2022,"after",1,1,1,1,546,"55576"
"Birmingham & Black Country, Midlands, UK",2020,"during",41,19,20,12,15973,"175440 117887 55576 155094 124439 54734 117853 179720 117943 123175 117865 223123 54294 182631 465346 49490 119666 228059 175944 50252 69430 54758 117971"
"Birmingham & Black Country, Midlands, UK",2020,"after",1,0,1,1,625,"182631"
"Birmingham & Black Country, Midlands, UK",2021,"before",1,1,1,1,345,"55576"
"Birmingham & Black Country, Midlands, UK",2021,"during",41,25,12,21,9258,"55576 54758 54734 54294 182631 119666 123175 179037 463344 223123 117943 124439 154184 117887"
"Birmingham & Black Country, Midlands, UK",2021,"after",2,0,2,2,394,"49490 117943"
"Birmingham & Black Country, Midlands, UK",2022,"during",99,37,22,23,12813,"54734 117987 55576 54294 67747 54758 124439 463344 123894 54607 117887 228059 49490 123175 54735 182631 154184 117951 117943 632126 48325 69211 54757 182455 222835 223123 179037 119666 180500 341601 155497"
"Birmingham Metro Area, Alabama, USA",2019,"during",37,12,20,10,3386,"125773 49490 155093 155091 200925 117943 121176 227234 67747 463677 463139 462529 221305 182713 215550 69430 460246 175176 223441 148365 182656 227252"
"Birmingham Metro Area, Alabama, USA",2019,"after",1,0,1,1,300,"49490"
"Birmingham Metro Area, Alabama, USA",2020,"before",1,1,1,1,492,"119669"
"Birmingham Metro Area, Alabama, USA",2020,"during",22,16,12,9,1844,"121176 125773 227252 194163 221305 229703 345245 49490 117867 48325 59968 227235 67747 55553 504616"
"Birmingham Metro Area, Alabama, USA",2020,"after",4,4,2,4,586,"460246 121176"
"Birmingham Metro Area, Alabama, USA",2021,"before",8,2,4,2,997,"463344 194163 460246 49490 175176"
"Birmingham Metro Area, Alabama, USA",2021,"during",6,4,4,4,1209,"460246 49490 117867 67747 117943"
"Bogotá, Colombia",2018,"during",113,14,29,39,8052,"229759 175820 597054 117867 69468 69437 55576 69436 48325 67747 49490 117980 491234 122660 123114 345245 117942 54735 461903 117892 175893 175670 1020941 117886 233293 117896 59968 122029 55554 463986 60724 934917 117887 117987 117943 200925 117988"
"Bogotá, Colombia",2019,"before",3,0,2,2,166,"49490 180500"
"Bogotá, Colombia",2019,"during",68,3,17,35,10646,"67747 69436 117887 117867 117951 123114 491234 55554 69437 48325 49490 123230 54294 864197 182717 60724 55576 117942 117943 123348 117892 123391 124439 180500"
"Bogotá, Colombia",2019,"after",1,0,1,1,280,"117943"
"Bogotá, Colombia",2021,"during",16,4,8,8,6481,"117892 69437 69430 175944 182656 180500 117943 69436 182701"
"Bogotá, Colombia",2021,"after",3,0,2,3,380,"117943 117892"
"Bogotá, Colombia",2022,"before",1,0,1,1,282,"491234"
"Bogotá, Colombia",2022,"during",26,0,10,14,4626,"49490 220115 117867 229702 182656 67747 117887 117859 117892 122029 117943 117951"
"Bogotá, Colombia",2022,"after",6,0,4,2,349,"49490 67747 491234 374430"
"Boise, Idaho, USA",2021,"during",11,0,7,6,3158,"632126 532267 182461 344442 60724 69430 117942"
"Boise, Idaho, USA",2022,"before",3,1,3,1,139,"117958 49490 54613"
"Boise, Idaho, USA",2022,"during",11,5,6,8,2251,"532267 632126 344442 182502 117899 117887"
"Bolzano, South Tyrol, Italy",2020,"during",2,0,2,1,505,"182631 155497"
"Boston, Massachusetts, USA",2018,"before",7,0,5,7,675,"60724 175896 69468 117943 54735 117951"
"Boston, Massachusetts, USA",2018,"during",277,67,49,110,16670,"117943 54734 60724 55576 121176 117968 69436 54607 813872 59954 67747 460246 182670 504611 117987 117854 151767 119669 117971 49490 182713 125728 182656 194686 117951 227661 155084 155095 222950 69430 462696 155090 200925 127051 155093 123230 117950 125773 54735 550161 182542 69211 117887 69468 175612 182465 203713 117899 155497 532146 154184 148365 119778 83475 49488 59968 630835 48325 117877"
"Boston, Massachusetts, USA",2018,"after",2,0,2,2,903,"119778 125632"
"Boston, Massachusetts, USA",2019,"before",22,3,14,8,1400,"49490 463344 182656 200925 54735 119778 117919 117943 69430 125773 227252 117951 182455 182461 48711 54734 182713"
"Boston, Massachusetts, USA",2019,"during",271,54,33,153,20469,"229538 117887 121176 49490 125773 117886 59954 148365 182679 117943 155090 67747 117951 179037 155095 155093 123230 54734 60724 182713 182657 69430 203800 55576 48325 69468 180494 119778 119669 154184 155092 117422 200925 54294 222950 117867 532146 182455 54735 59968 125728 69436"
"Boston, Massachusetts, USA",2019,"after",5,0,4,5,1529,"119778 155090 117951 200925"
"Boston, Massachusetts, USA",2020,"before",35,5,18,23,2551,"155093 320843 463344 117943 49490 121208 55576 119778 182476 69211 67747 182631 69430 125773 117951 210371 217076 117422 148365 121176 117942"
"Boston, Massachusetts, USA",2020,"during",354,71,55,105,15362,"49490 155093 148365 117943 69211 117886 463344 119778 117422 344442 179037 175150 175896 182467 182613 182679 69430 123230 117942 200925 67747 59954 175440 117877 69436 182631 320843 55576 154565 117951 125773 48325 125754 121176 151767 60724 175944 227252 121208 49488 117860 182455 117865 71060 182439 117887 119669 217086 203800 155090 117987 54734 50252 224150 175845 228666 60729 182657 123175 117971 154107 460246 54735 230314 155094 123894 203713 69468 154184 223123"
"Boston, Massachusetts, USA",2020,"after",30,9,17,19,3723,"59954 127423 710073 194686 123230 60724 117943 117951 532267 49490 55576 121176 119778 117971 155093 182679 49488 117950 117422 59968 179037"
"Boston, Massachusetts, USA",2021,"before",47,9,22,22,2954,"182467 125754 148365 119669 119778 182461 59954 125773 344442 69468 117987 155093 180523 54607 117422 117951 222815 117943 54757 49490 117887 55576 69436 182455 154184 151767 463344"
"Boston, Massachusetts, USA",2021,"during",350,88,57,110,24663,"182679 200925 182455 49490 60724 67747 155093 69211 148365 155497 320843 117943 123230 69430 125773 182631 117867 229441 175896 117887 59954 117422 119669 55576 50252 69468 203800 182461 121176 223123 117951 117963 182656 210371 460246 119778 117971 182670 179037 154184 117950 182467 54735 121208 54734 175859 182542 151767 182657 48325 182613 463344 54757 194686 155090 222950 180467 117987 155095 462696 125754 175944 175440 123176 504634 155094 59968 69436 504611 155091 125728 203807 55457 813872 175359"
"Boston, Massachusetts, USA",2021,"after",19,1,10,14,7023,"117951 117943 119778 54294 49490 125773 182679 182631 222950 121176 67747 55576 117422"
"Boston, Massachusetts, USA",2022,"before",53,10,25,22,4576,"49490 67747 117867 54734 463258 121176 55576 320843 203800 148365 179037 180431 59954 48711 182439 117943 119778 117422 125773 71060 182670 182467 117887 205689 463344 69436 182679"
