"City","Year","Comparison","rate_before","rate","rate_difference","Chisq","P"
"Adelaide, South Australia, Australia",2020,"during",0,0.00266429840142096,0.00266429840142096,NA,NA
"Adelaide, South Australia, Australia",2020,"after",0,0.00392927308447937,0.00392927308447937,NA,NA
"Adelaide, South Australia, Australia",2021,"during",0.0075187969924812,0.00349393159249724,-0.00402486539998396,NA,NA
"Adelaide, South Australia, Australia",2021,"after",0.0075187969924812,0.00508474576271186,-0.00243405122976934,NA,NA
"Adelaide, South Australia, Australia",2022,"during",0.00577557755775578,0.00680647534952171,0.00103089779176593,0.0407205502100607,0.840078291957458
"Adelaide, South Australia, Australia",2022,"after",0.00577557755775578,0.00323101777059774,-0.00254455978715804,NA,NA
"Alachua County, Florida, USA",2020,"during",0.00521512385919166,0.00802087359876305,0.00280574973957139,0.400178275890642,0.526997202147667
"Alachua County, Florida, USA",2020,"after",0.00521512385919166,0.00344036697247706,-0.00177475688671459,NA,NA
"Alachua County, Florida, USA",2021,"during",0.00741656365883807,0.00665335994677312,-0.000763203712064952,0.000965031885302653,0.975217732176022
"Alachua County, Florida, USA",2021,"after",0.00741656365883807,0.00291757840991977,-0.0044989852489183,NA,NA
"Alachua County, Florida, USA",2022,"during",0,0.00552624968600854,0.00552624968600854,NA,NA
"Alachua County, Florida, USA",2022,"after",0,0.0045024763619991,0.0045024763619991,NA,NA
"Albuquerque, New Mexico, USA",2019,"during",0.00429184549356223,0.00604914933837429,0.00175730384481206,NA,NA
"Albuquerque, New Mexico, USA",2019,"after",0.00429184549356223,0,-0.00429184549356223,NA,NA
"Albuquerque, New Mexico, USA",2020,"during",0.00347222222222222,0.00653206650831354,0.00305984428609132,NA,NA
"Albuquerque, New Mexico, USA",2020,"after",0.00347222222222222,0.00437956204379562,0.000907339821573399,NA,NA
"Albuquerque, New Mexico, USA",2021,"during",0.00269541778975741,0.00600487896415838,0.00330946117440097,NA,NA
"Albuquerque, New Mexico, USA",2021,"after",0.00269541778975741,0,-0.00269541778975741,NA,NA
"Albuquerque, New Mexico, USA",2022,"during",0.0108695652173913,0.00622422197225347,-0.00464534324513784,0.177300343155472,0.673703622023095
"Albuquerque, New Mexico, USA",2022,"after",0.0108695652173913,0.00736196319018405,-0.00350760202720725,NA,NA
"Ann Arbor, Michigan, USA",2020,"during",0,0.00790960451977401,0.00790960451977401,NA,NA
