"user.login","Year","City","Period","n_obs","n_taxa","taxa"
"a-f-allen",2019,"Dallas-Fort Worth, Texas, USA","during",2,2,"69430 117943"
"a-young",2020,"Boston, Massachusetts, USA","during",2,2,"54735 49490"
"a_gaudet",2018,"Denver-Boulder Metro, Colorado, USA","during",1,1,"174748"
"a_johnson",2022,"Boston, Massachusetts, USA","during",1,1,"218571"
"a_laughlin",2020,"Western NC, North Carolina, USA","after",2,2,"49490 48711"
"a_underwood",2021,"Boston, Massachusetts, USA","during",3,3,"182679 200925 182455"
"aahess",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",1,1,"55576"
"aaliyac",2021,"Atlanta, Georgia, USA","during",1,1,"175440"
"aandmg",2022,"Austin, Texas, USA","during",19,13,"182467 117943 117867 232361 117892 69211 117932 222950 462706 532349 229441 228037 233685 69430 55553"
"aaron240",2020,"Fairfield and Westchester County, Connecticut and New York, USA","before",1,1,"49490"
"aarongunnar",2018,"Chicago, Illinois, USA","during",19,17,"220115 229441 48325 117943 200925 117929 117950 632126 203713 49488 151767 54734 463339 217132 222950 155091 55553"
"aaronmush17",2022,"Boston, Massachusetts, USA","during",1,1,"117943"
"aaronng12",2022,"Orange County, California, USA","before",1,1,"117938"
"aaronroberge",2021,"Calgary, Canada","during",3,3,"344442 182679 117943"
"abalogh",2018,"Cleveland-Akron-Canton, OH, USA","after",1,1,"60729"
"abasson",2018,"Boston, Massachusetts, USA","before",1,1,"60724"
"abasson",2018,"Boston, Massachusetts, USA","during",1,1,"54735"
"abatista",2020,"Chiriquí, Panamá","during",2,2,"182613 182631"
"abbyburgos",2021,"Chicago, Illinois, USA","during",1,1,"151767"
"abeck365",2019,"Charlotte, North Carolina, USA","during",2,1,"117943"
"abeck365",2020,"Charlotte, North Carolina, USA","during",1,1,"67747"
"abeveridge",2019,"Charlottesville, Virginia, USA","before",1,1,"69430"
"abigailgonzales12a",2022,"Ciudad de Panamá, Panamá","during",1,1,"176035"
"ableabole",2022,"Cleveland-Akron-Canton, OH, USA","during",1,1,"205689"
"abqtree",2019,"Albuquerque, New Mexico, USA","during",6,5,"48325 117887 67747 174748 69468"
"abqtree",2021,"Albuquerque, New Mexico, USA","during",1,1,"174748"
"abraham_saaiman1",2022,"Cape Town, Western Cape, South Africa","during",2,2,"123894 55576"
"abrahamlimpkin",2020,"Alachua County, Florida, USA","during",2,2,"67747 464189"
"absolutumit",2022,"Cape Town, Western Cape, South Africa","during",2,2,"55576 50252"
"acanty",2019,"Cleveland-Akron-Canton, OH, USA","after",3,2,"117943 463344"
"acc_ajusco",2022,"Ciudad de México, México","during",2,2,"69437 491234"
"accmichael",2019,"Austin, Texas, USA","during",1,1,"117943"
"acdodge",2020,"Boston, Massachusetts, USA","before",1,1,"182631"
"achavez48",2019,"Albuquerque, New Mexico, USA","during",1,1,"60724"
"acrown",2022,"Cape Town, Western Cape, South Africa","during",1,1,"55576"
"actinophrys",2021,"Calgary, Canada","during",1,1,"182679"
"adam_b",2018,"Chicago, Illinois, USA","during",1,1,"119669"
"adams1119",2021,"Boston, Massachusetts, USA","during",1,1,"117943"
"adamschrier",2022,"Boston, Massachusetts, USA","during",1,1,"60724"
"adamsfamily",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",1,1,"117887"
"adamwhiskey",2022,"Eugene-Springfield, Oregon, USA","during",1,1,"179042"
"adel_plainsgirl",2020,"Adelaide, South Australia, Australia","during",1,1,"55553"
"adgilesg",2019,"Ensenada, Baja California, México","during",5,4,"67747 117943 117932 532267"
"adgilesg",2021,"Ensenada, Baja California, México","during",5,3,"54623 147221 117958"
"adgilesg",2022,"Ensenada, Baja California, México","during",3,3,"60724 210316 117932"
"adl03",2022,"Chicago, Illinois, USA","during",5,4,"344442 117887 372229 182613"
"adonis_wei",2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",17,7,"117951 125773 55576 55247 54757 223432 179761 117943 148365 232383"
"adrivireo",2021,"Alachua County, Florida, USA","after",1,1,"67747"
"adventurelisa",2021,"Garden Route, Western Cape, South Africa","after",1,1,"217093"
"adventurelisa",2022,"Garden Route, Western Cape, South Africa","during",1,1,"117950"
"aedmonds",2022,"Geelong, Victoria, Australia","before",2,2,"48325 55554"
"aehresman",2021,"Boise, Idaho, USA","during",1,1,"69430"
"aereal1",2020,"Birmingham Metro Area, Alabama, USA","during",1,1,"227252"
"afeld",2020,"Boston, Massachusetts, USA","during",1,1,"117951"
"afitz",2019,"Austin, Texas, USA","during",1,1,"229760"
"afitz",2022,"Austin, Texas, USA","during",1,1,"232361"
"africangray",2020,"Western NC, North Carolina, USA","during",1,1,"117867"
"afriqueds",2021,"Garden Route, Western Cape, South Africa","during",1,1,"60724"
"afroherpkeeper",2021,"Austin, Texas, USA","during",1,1,"175758"
"agaddy2013",2020,"Birmingham Metro Area, Alabama, USA","after",1,1,"460246"
"agave6_tomwalker",2020,"Boston, Massachusetts, USA","after",2,2,"710073 194686"
"agave6_tomwalker",2021,"Boston, Massachusetts, USA","before",1,1,"180523"
"agenbag",2021,"Garden Route, Western Cape, South Africa","before",1,1,"182679"
"agenbag",2021,"Garden Route, Western Cape, South Africa","during",1,1,"67747"
"agenbag",2022,"Garden Route, Western Cape, South Africa","after",1,1,"117950"
"aggielacie",2019,"Austin, Texas, USA","before",1,1,"55553"
"agnetheso",2021,"Bristol & Bath City Region, UK","before",1,1,"144276"
"agoranomos",2021,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",2,2,"48325 60724"
"agw",2020,"Boston, Massachusetts, USA","during",2,2,"117951 117887"
