"Year","Period","n_cities","n_obs","n_obs_RG","n_taxa","n_users","n_obs_all","taxa"
2018,"before",23,128,67,55,60,30023,"117943 148365 60724 175896 69468 54735 117951 532267 55576 69430 462426 220242 125773 706693 227561 710073 220115 117903 229443 155091 55553 117877 232361 182675 227252 123175 49578 55457 229759 121176 155090 60729 60711 463344 154184 54734 550161 49490 200925 230419 151767 67747 463823 154107 117958 117867 48325 232453 174751 69436 463825 203093 125055 57807 147221 117856 194700 179755 117874 125728 118245 117950 48711 532755 119778"
2018,"during",40,3159,1377,391,895,413137,"54735 117877 174753 229779 117943 55553 117867 229759 182675 229760 155091 121176 232361 155092 69430 117874 200925 48325 203897 123348 117887 510865 54734 203093 54758 117942 123511 117951 220112 117892 227235 229256 233293 227252 218573 117938 228058 532267 55554 49490 117422 155093 151767 532533 155090 175820 597054 69468 69437 55576 69436 67747 117980 491234 122660 123114 345245 461903 175893 175670 1020941 117886 117896 59968 122029 463986 60724 934917 117987 117988 117968 54607 813872 59954 460246 182670 504611 117854 119669 117971 182713 125728 182656 194686 227661 155084 155095 222950 462696 127051 123230 117950 125773 550161 182542 69211 175612 182465 203713 117899 155497 532146 154184 148365 119778 83475 49488 630835 632126 182502 182679 344442 182508 194681 154128 174748 119888 463825 180500 182439 210316 233697 462306 182631 462309 223123 222838 463176 123894 1232380 775650 1027854 212392 175582 55448 229764 227547 117858 233474 463797 205492 119666 223257 203807 182455 154107 210314 124439 123175 54757 320843 220115 229441 117929 463339 217132 232791 463870 180493 463344 506114 463305 205460 226109 214710 214458 194163 182613 233685 462479 227561 230281 117945 125754 155082 210576 463139 229445 463096 508867 322661 205846 218577 182467 229703 227259 132205 174766 462437 233473 230426 182558 144276 232790 223119 355334 223132 462951 179366 598077 228670 154105 598059 463835 409047 532141 117903 209662 222931 461454 705957 463268 404864 179720 117969 220865 216213 463837 226483 228059 355350 222860 341601 218522 230642 222835 463484 532149 60718 69207 207988 532157 54351 117913 179864 217148 155094 212280 463823 54608 205575 212291 120384 57807 209793 227662 463286 229999 463824 532121 125055 222883 229938 174751 464189 463777 1182620 117884 227998 233440 222896 532346 175506 174739 463079 463805 117865 154129 117925 205079 1019864 597453 463746 175655 228037 462438 182554 217270 117992 228062 205081 223476 174891 117963 175450 404863 50252 175176 229772 221314 221305 223470 960311 223448 117973 175501 463919 215810 220647 229443 228063 221999 222821 402281 182617 229699 462706 707474 175969 117962 229260 231485 227582 228053 175845 214707 463679 215804 218571 210537 462268 205567 463071 117932 227237 227655 229777 462785 208483 60709 174811 154108 54294 175047 462868 227390 228248 182476 225038 504616 463340 217081 463354 463866 707326 462446 707333 219208 463348 462819 344424 462305 462326 214357 463321 706693 233690 180467 532064 462724 203800 179037 215994 463677 54613 117859 229246 60725 147231 463828 123349 217143 227244 54623 147221 226626 179042 123176 205400 117915 532349 49578 203993 118245 48711 117901 463448 463449 813868 175813 117876 155195 55243 71060 630829 54317 154203 124442 532182 123231 117975 117863 117937 117965 217084 220252 202002 532308 147234 175433 463665 117900 117853 222055 155226 532319 462408 117862 532698 147233 203077 117888 117947 117889 179033 223432 117852 1019557 117919 232518 222059 463984 117875 175944 117872 117879 117856 203087 464214 194723 117974 1039176 197141 352459 147374 127146 194812 119695 69728 55538 126597 126626 117425"
2018,"after",19,158,40,74,73,38925,"67747 460246 69430 117943 222950 117874 119778 125632 55576 462696 462951 180493 228243 232791 506114 462868 155497 532146 155082 200925 463344 60729 228037 463234 182613 182713 462408 222938 233323 462305 532114 233685 865798 463775 344424 463207 710073 532267 182631 154184 228063 151767 117925 117867 155091 175440 210316 182455 60724 212280 123230 222866 344442 352459 57807 124439 147233 48325 117992 50252 117951 463825 155093 117900 117877 182502 182461 203093 71060 117950 49490 203077 147234 147221 147236 202002 813868 49578 125055 117987 54734 119695 118245 55243 125773 117887"
2019,"before",35,261,57,102,144,59789,"212280 182675 504611 119778 320843 49490 180500 121176 55553 151767 117943 117877 463344 182656 200925 54735 117919 69430 125773 227252 117951 182455 182461 48711 54734 182713 463837 182679 117988 532267 174751 977416 55576 48325 117867 155090 182542 232797 174766 210527 532114 532227 462409 60715 462457 463347 883150 532290 155095 226109 216213 463184 1286266 233483 463071 229249 119888 462724 1035932 504634 67747 182670 1040929 55554 229442 50252 175433 182717 57807 60724 154129 117887 175712 155091 532533 632126 154184 182631 175954 155495 491234 132205 175670 117962 463096 462849 463092 117896 54294 118245 155092 54608 194812 54623 1019864 117932 532531 337945 222944 222950 147234 54613 117950 59968 124439 463825 123175 67343 117876 117858 71060 69436 123230 49578 54758 182613 117942 182682 148365 69468 228062"
2019,"during",68,5986,2244,593,1738,861331,"532349 229245 175654 49490 203087 125055 60724 121176 344442 48325 67747 69430 69437 117962 69468 123230 117887 174748 220115 182679 229777 179366 532267 117943 132303 175359 632126 117951 229441 117971 125773 504611 54607 182631 117950 151767 125728 121208 155093 205689 182713 69436 182613 117892 117867 117874 182657 123348 200925 48711 49488 227235 59954 60709 54734 182682 320843 117963 1035932 117942 69728 117899 227234 217145 217093 460246 119669 119778 117987 227252 205699 229703 217116 508931 217153 230281 203800 222950 532533 224451 220637 227557 205567 214300 228037 229590 229589 182554 463344 225437 463070 227582 205846 117422 155091 463745 532583 229574 233323 210356 463347 54294 227408 463677 222085 228058 55576 155090 229759 55553 117938 232361 54758 50252 203093 127423 233685 124439 229760 117877 154129 229702 229779 148365 125754 117889 463139 462529 221305 215550 175176 223441 182656 123114 491234 55554 864197 182717 123391 180500 229538 117886 179037 155095 180494 154184 155092 532146 182455 54735 59968 182605 463825 229256 123175 223123 233474 462438 232665 341601 233501 462437 229764 69207 228059 229442 207988 228670 404864 1028392 117860 222815 127051 60718 462705 175780 462950 1232380 463071 462306 461454 223132 222860 222844 463176 222838 222835 222833 775650 222798 117969 222076 209662 355350 218522 216213 210315 210314 462951 205492 155082 203807 119666 69211 205470 532755 463837 174751 174925 117988 960311 881397 583820 1080564 355354 597051 405312 117980 83475 203713 992273 57807 597056 117865 71060 230304 55247 462696 175433 355336 890875 381014 69214 512794 512789 502881 402657 117900 117925 117901 345005 486322 502882 407667 1232362 400303 473041 403786 355352 217296 203090 403378 355335 405265 400959 120448 175179 227995 404836 223453 232383 415652 888223 223257 404856 407045 463838 117945 117913 399503 864330 407058 369677 117958 403856 402274 405262 404816 404818 411151 405725 410752 400311 406763 888277 406325 404862 224514 119888 406188 355322 217270 380997 402282 864236 222062 446985 404153 408333 175972 405268 405329 179761 123457 69730 409221 118252 123678 405296 175426 446986 318589 222936 403832 197141 194681 405311 228666 480027 400812 407517 406271 217100 403493 203089 405544 182558 1424333 411156 123894 118245 406219 406442 122660 217148 319389 117425 222053 54757 117990 175440 406259 227391 223432 355337 404737 69163 463984 154128 155495 464189 463096 182542 214458 154108 194686 182670 462785 180493 228244 462426 463858 774948 214710 194163 212238 463207 233449 463184 227661 230426 194679 205460 1232354 228062 228044 117903 214244 232791 214751 182675 212280 532747 508867 182701 182502 117932 182461 209793 147221 54623 179724 226626 123176 49578 175232 117919 217076 125632 218055 180488 182570 630834 182552 117858 224150 182663 180474 813872 179720 117847 217086 180456 119695 175350 235279 813868 154099 182732 117926 117853 504634 205484 182439 127092 217123 463879 226890 403505 194723 117924 220261 700478 123677 222052 458886 126625 180467 175969 155094 121212 182467 221322 630835 119675 182705 823668 203835 194700 463553 230314 129667 127123 122681 182503 117876 222847 210522 1347949 55457 180422 117968 407050 233083 117947 887326 887317 233285 128050 205418 461455 923634 352486 54351 532157 155497 532531 532141 463485 532149 462706 532154 1232435 233467 144276 226483 1019864 180444 233473 318822 532707 117846 225955 210316 175047 117875 462256 147234 344388 464002 210537 175055 532258 461903 223448 132205 343671 369657 175845 888569 117896 888567 175247 67343 230002 372229 221314 221999 120384 702309 218571 222821 463793 202002 581649 229772 345245 707474 404863 214707 463746 174891 221323 231476 462611 220112 532346 402281 222863 218551 532259 228852 463073 219140 174739 462247 215810 768356 462863 462861 222955 174753 222896 174850 532099 205081 223638 229249 1182620 597453 351000 222877 932416 215998 462408 203897 220114 221313 227655 228038 869754 227998 474433 117917 462481 463924 232679 221195 462439 231137 194736 229443 462268 182617 215804 221317 175417 229083 462479 463893 217132 526717 214724 221318 227656 227579 228063 463919 175506 826336 463077 226107 175875 233684 464233 550161 60729 146939 175438 230642 155084 175539 67344 710073 175944 233707 175859 465009 174766 54613 203098 205684 117992 218461 462380 463478 60725 123349 463823 222826 224079 462395 154107 229243 337945 218462 182723 222866 532430 233708 463493 363694 222957 215561 463830 215555 463829 227244 463074 154188 464214 54608 532182 179042 463665 175541 463828 147233 126597 463448 48714 404238 154203 1039176 179863 175813 463449 194661 155227 220252 217084 117863 205694 119677 123231 532308 210576 217096 217299 117859 230516"
2019,"after",40,240,64,96,111,61414,"59954 121176 67747 49490 205470 55554 117943 119778 155090 117951 200925 532533 632126 117987 117942 893203 48325 864248 55247 117962 117932 890875 55576 406442 355337 355346 117892 228666 127119 232383 318589 405357 355354 1040929 222936 405536 222062 117925 118252 60724 50252 355335 229759 55553 355352 119888 155093 463344 151767 229443 462721 462263 179037 223470 232361 700478 217081 125773 205484 49488 532267 960311 123175 182675 182656 220115 124439 345245 69430 221305 344442 155091 117887 182455 532146 117867 463825 123349 218461 229246 123511 463071 48711 175813 154184 147221 122681 55243 118245 538567 54294 526743 532755 117988 117847 463449 117874 212280 117875 182723 117853 175433 69436 179863 49578 203077 463826 630835 54735 117971 119695 123231 182502 229777 182713"
2020,"before",56,621,182,126,249,107694,"464189 121176 229777 117943 49490 151767 117867 710073 1035932 550161 228055 463898 462441 233685 83475 229759 182679 355322 355352 203800 55554 463837 117887 117962 232361 55553 117874 119669 155093 320843 463344 121208 55576 119778 182476 69211 67747 182631 69430 125773 117951 210371 217076 117422 148365 117942 532267 175944 532755 532175 155094 632126 60724 123230 125055 175170 182455 59954 155091 122660 117865 175426 401975 125754 117958 403086 405725 117925 127119 222930 409221 123348 124439 209662 48325 502154 1019864 194681 405329 117938 119888 179761 54758 123894 463340 229441 463777 117877 155090 117987 155095 118245 123176 175712 127051 59968 194687 48711 117988 174748 179037 49488 69468 50252 154184 60718 223123 117980 123175 463825 214305 119666 222943 182558 180500 179366 194686 54734 180482 194163 200925 117971 462785 463071 344442 175433 322661 117892 182613 182656 460246 813872 49578 54735 464247 215532 212280 218461 124441 117858 147233 203093 71060 117950 69436 220115 69437 54623 154107 532146 229765 55457 123231 203896 813868 119695"
2020,"during",104,5241,1594,315,1709,731999,"69430 355906 117951 67747 49490 174748 117942 122029 55576 532533 400878 125773 154184 55553 322661 464189 117867 176035 463344 175893 205079 175440 132205 121176 460246 227252 48325 155091 69436 117859 223123 117988 155090 182679 229777 175170 154107 182502 230002 60724 123230 54294 155094 222823 532267 229083 154252 194681 69437 175433 117887 69211 54734 117943 200925 117932 117865 117425 119669 48711 1035932 59954 117950 125754 320843 59968 194163 49488 155093 182631 69728 117422 462441 228055 182701 117892 117992 217116 151767 117987 54735 179761 406192 318589 117938 355322 50252 597251 415652 233685 229759 203800 212280 148365 1019864 229245 510865 232361 229760 127423 229779 182675 229765 54758 182613 233293 463677 55554 60709 69468 182656 121208 67343 124439 117853 179720 123175 465346 119666 228059 175944 117971 221305 229703 345245 227235 504616 155497 117886 119778 344442 179037 175150 175896 182467 117877 154565 117860 182455 71060 182439 217086 224150 175845 228666 60729 182657 230314 123894 203713 182508 532707 208483 463987 182605 154250 632126 229999 636253 182461 175654 532175 531563 175493 210316 532755 119888 117858 220115 175350 222833 341601 355350 222838 154129 775650 69730 203807 123348 54757 60718 463837 154108 223638 180500 229244 229246 174751 175712 117980 464002 1080564 992273 217093 217299 203089 405725 406442 194687 69207 355335 355352 117925 409221 404678 410752 403861 406188 175426 222936 355346 465032 222930 232383 355354 462408 463096 182542 462706 532146 464233 463984 463479 175355 222950 218461 123176 120384 229441 463825 205470 147234 54608 117874 194736 126597 462714 125058 182732 49578 54613 463448 630835 194686 155092 461903 83475 502154 893203 960311 175173 712029 123114 596946 48714 119695 57807 217107 155495 714333 318822 319357 127051 182570 217076 125728 117919 182670 119887 54607 175859 205689 504634 182534 121212 217123 117963 55457 182705 227386 180456 117926 403505 117895 532117 205567 180480 55247 175401 117968 227551 1076135 229702 60725 117899 125055 222877 222900 532348 532265 54623 54322 205400 119696 117929 223257 214226 175657 630829 463828 203098 154128 228070 221999 532346 532349 182721 182617 175758 182713 180467 125632 222956 122660 174824 463071 182476 155082 217100 462724 54352 227661 229443 710073 118252 372229 126626 179042 222844 233708 218522 205684 123349 464214 232453 117958 147221 117856 461455 118245 532308 182723 194116 345911 147233 203077 203093 117900 146938 463449 117875 117972 117969 813868 122681 217157 123231 126624 123391 222890 228053 229784 233083 218578 462513 205081 175969 229764 155095 210315 462563 117884 793879 209662 205261"
2020,"after",63,464,131,133,242,131310,"49490 355906 67747 205079 464189 344442 632126 55576 121176 117943 117867 59954 48711 200925 155091 182679 203093 460246 233685 227235 205846 60715 180523 463354 532533 232361 55553 205689 155090 175944 125773 182631 127423 710073 194686 123230 60724 117951 532267 119778 117971 155093 49488 117950 117422 59968 179037 182605 54734 69729 174748 117887 69436 119669 227252 182467 179366 69430 227656 888434 402657 50252 175179 405265 175450 175426 404238 117958 117925 222930 117865 69163 117915 463344 222957 462721 69468 54294 148365 182461 205431 182502 176035 1080564 463542 55247 223467 352459 175954 217270 194723 221322 182705 121212 403505 117895 823668 217123 117987 118245 1035932 182613 504634 117874 230414 462848 229759 54623 205400 54608 532698 182455 223123 214305 117929 144276 463837 117942 229760 175845 151767 69728 123894 462724 462714 154184 462951 228062 54735 71060 182439 155094 322661 203713 117938 229441 212280 532265 125055 69211 124442 532755 54758 202002 54317 229765 119888 49578 154252 117900 69437 147233 203993 48325 123176 117877 117853 123175 174751 123231 117992 992273 117932 352486"
2021,"before",89,784,183,180,384,174836,"48325 355354 55576 69430 54735 175944 119888 55553 67747 117896 217269 55554 121176 212280 49490 217116 205846 229759 232361 463344 155497 175047 154107 532348 117932 227235 117938 227252 229441 54758 229760 50252 117865 117867 229765 117877 125773 155090 119669 182631 194163 460246 175176 182467 125754 148365 119778 182461 59954 344442 69468 117987 155093 180523 54607 117422 117951 222815 117943 54757 117887 69436 182455 154184 151767 155094 1393892 532466 144276 54734 60724 57807 117958 123114 48711 322661 54294 182679 182657 182670 117892 182675 175357 180448 124439 123175 464189 176035 222950 233685 117942 117899 462953 179037 532349 203800 69163 182713 67344 203713 712029 117858 217094 532521 125632 463071 117992 155091 123230 54613 532267 228066 125055 210316 123511 175859 182613 180500 121208 229764 118245 60718 223123 69211 179366 203098 117988 126626 60709 49488 174753 632126 175612 532346 215810 174748 219140 217132 229083 462479 236626 117980 465009 117971 69728 710073 532533 463305 155095 228063 200925 532698 813872 532755 117919 117889 630834 504611 504612 123176 55243 119695 179856 49578 55457 220115 54608 69437 228248 175758 218551 229256 154128 227412 120384 229245 218461 117913 54623 204766 175440 463665 147221 117900 71060 117925 203093 463825 122681 175433 463837 630835 352459 463449 155226 175426 232679 463448 125728 175813 462724 119676 179042 146938 125058 123231 222835 117853 117874 154457 179720 55538 122029 355906 369658 318589 117861 405268 217100 117963 59968 117950"
